seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
27,"[0.5433834014821325, -0.2813752169572461, -1.6507690638399892, -0.5392228109744919, 0.0358458019989249, -1.3523093968168916, -0.28370180807418044, 0.4866379650562555, -0.9807717619087977, -0.8254637564587508]","[0.5743737551811356, 0.14440912968736902, -0.4286094610877953, -1.3322432696610371, 0.4118313957706455, -0.131236605720741, -1.3135848055852521, 0.6455335423073619, 0.15037240508507962, -1.1587534149226957]","[0.5756101, 0.4754826, 0.27260044, -2.5007887, -0.40090087, 0.8053723, -0.0018130969, 0.31025276, 0.731159, 1.2241879]","(20, 10)",1e-06,"[0.5310953259468079, 0.21968284249305725, -0.4545265734195709, -1.1699515581130981, 0.4502273201942444, 0.2609677016735077, -1.2245962619781494, 0.7805123329162598, 0.36702603101730347, -1.2353756427764893]"
64,"[0.960188229976986, 1.9874423379743371, 1.0987946114776337, 2.0902947357532593, 2.476175664241769, 0.8121078065848485, 0.3355804188099139, 0.0889636597566559, 0.9725893746154093, 1.7738191075207315]","[0.7652422687161751, 0.31612221134233787, 1.6022566710651478, -0.026237707600035465, 1.8247733015863465, 1.158331135165732, -0.14879648989817218, 0.357646417459875, -0.12216291060514936, 0.9427720597453912]","[1.5198023, 0.6730895, 0.35497254, -0.24506772, 0.15358111, 0.9664986, 0.4290372, -1.4954602, -0.83713585, -0.42074946]","(10, 5)",1e-06,"[0.7669488787651062, 0.2795182466506958, 1.1980117559432983, 0.21384744346141815, 1.344136118888855, 1.1577882766723633, -0.05934359133243561, 0.18913860619068146, -0.1317407339811325, 0.7369650602340698]"
17,"[1.9776637326387456, 2.2808021325809653, 2.317044702502045, -0.7175141667587497, -2.1281041285195292, -0.8441584517729043, 1.7475194681679131, 1.3316694908239595, -1.3700210622760884, -1.811697341144787]","[1.156218373665546, 0.6947561256945287, 1.1927028970201161, 0.9360993842787744, -1.5657279368031887, -0.9571450479780863, 0.19501390232669302, 1.6099732115667638, 0.015507159357091682, -1.4957714906984683]","[-0.93396336, 2.1291938, 1.2453305, 0.19127382, -1.2371881, -0.29541844, 0.16389775, -0.99053925, -0.5451679, 0.036554873]","(10, 5)",1e-06,"[1.2281697988510132, 0.5831496119499207, 1.2267807722091675, 0.8926127552986145, -1.5068758726119995, -1.11581552028656, 0.395410418510437, 1.6243599653244019, 0.12302364408969879, -1.734917402267456]"
15,"[1.9877180158333834, 0.6412507552841065, -1.3332199243664182, -0.5877213416820823, -0.04635724783356576, -0.15313840750309313, -1.3506328108232484, -2.250841349679237, -0.0869710897871927, 1.8672560230339834]","[0.4526162091559451, 1.5766792061248487, -0.6501895377294464, -1.1402602648302693, 0.3290538724206001, 0.013888658846866474, -0.12769438532566124, -1.1097382776214468, -1.1645264945763765, 1.0720202714031433]","[-0.8336766, 0.2679776, 1.1218199, 0.39415762, 0.38713378, -1.0048503, -1.2436923, 0.22422011, 0.497926, -0.10216031]","(10, 5)",1e-06,"[0.7633374929428101, 1.7658847570419312, -0.5466861724853516, -1.0679525136947632, 0.21235737204551697, 0.005556195974349976, -0.2494415044784546, -1.3033082485198975, -1.3822307586669922, 0.8531467914581299]"
65,"[3.4335508773089245, 3.144454023541827, 0.841010547351804, -1.5892790549141784, -1.825150136671232, -1.909472434156661, -2.6573631781809595, -2.932104031235805, -2.411024914237837, -0.6711922413533821]","[1.515136408141493, 1.8802918457662852, 1.021028113278461, -0.6121721804521955, -1.453917778330827, -0.5947901338371935, -0.8917008017908111, -1.4290476028397143, -1.2573490425872489, -0.7783930601861]","[0.91005313, 0.88091075, -0.49066433, -1.9253346, -0.30767357, 1.0573003, -1.6385862, -1.2405025, 0.20533143, -0.7584448]","(20, 10)",1e-06,"[1.5744611024856567, 1.1896599531173706, 1.1965789794921875, -0.505388081073761, -1.6330796480178833, -0.6064844131469727, -1.0041580200195312, -1.4899982213974, -1.3537951707839966, -0.8611297607421875]"
5,"[0.21598835098125613, -0.9042088904919257, -1.8090137817402674, -1.4089284280220933, 0.3948796173719372, 1.6563896397729863, 1.8222513045715725, 0.7513808381041238, 0.21509180691047064, 0.15812087009887799]","[0.6154961027418473, -0.3136113145208274, -0.7307070251506027, -1.0857750595565672, -0.36710350527703484, 0.8477930583916522, 1.0360080052873832, 0.789544442201129, -0.10497680024123651, 0.03850099257814123]","[-0.34685716, -1.3083913, -1.3352736, -0.8945191, -0.98589635, -0.5917261, -0.66672504, -0.479531, -0.5417041, -0.06741934]","(10, 5)",1e-06,"[0.9785698056221008, -0.6741153597831726, -0.8709242939949036, -1.259108066558838, -0.2468002438545227, 0.7844606041908264, 1.169754981994629, 0.8407595753669739, -0.30016669631004333, -0.14780986309051514]"
16,"[0.5152276739766124, 0.144524383745533, -1.0183953636576761, -1.9749354802841095, -1.5787766719451315, 0.25751307478105334, -0.44708157882728417, -0.674185560798419, -1.6529463550583572, -2.02131055789495]","[-0.8583976403319039, 1.3774064495024978, -0.5847352604236712, -0.8830946506719742, -1.1174226432078331, -0.4474524296674114, 0.7383639017891614, -0.933410535417873, -0.2710717964741093, -1.1784688822271654]","[-0.8249396, -0.85968554, -0.36519492, 0.011061709, 1.049779, 0.96945786, 0.17603478, -0.8966928, -0.39639866, -0.56819993]","(10, 5)",1e-06,"[-0.8072189688682556, 1.206892728805542, -0.16162049770355225, -0.9827752709388733, -1.1191446781158447, -0.3850032389163971, 0.8957385420799255, -0.7761116027832031, -0.32250744104385376, -1.288226842880249]"
23,"[-0.9623806480473136, -1.6709087756701242, -0.27783964327840793, -0.9500816447829181, -1.8826477468168035, -1.8395970086951476, -1.2454507077305115, 0.5701247373579653, 3.578944774899174, 2.747911711687151]","[0.22445779079447603, -0.7196011910946541, -0.8955135843175035, 0.6235868425807216, -0.9838691677256917, -0.986085573284191, -0.6569630704357258, -0.27328913804023525, 0.9986625792667562, 2.6088099809690664]","[-0.5007765, -0.8381359, -0.06436908, 0.19728968, 1.3372248, 0.7437306, -1.5482041, -1.4811443, 0.56465244, 1.5376104]","(10, 5)",1e-06,"[0.3660561442375183, -1.110105037689209, -0.7729611396789551, 0.7754037380218506, -1.453606128692627, -0.8889117240905762, -0.8447972536087036, -0.37362977862358093, 0.9183179140090942, 2.1207175254821777]"
61,"[-3.057948799466865, -3.963349443448349, -2.2110460710511606, -1.0383298758388935, 0.3293943821787133, -1.067748810281296, -2.149024809062282, -2.0398062169834312, -0.14888278236076757, -0.21845981564460837]","[-0.8349129540188744, -2.401717789213315, -1.7660645319295576, -0.5122459526802061, -0.44357341727892163, 0.6633123152491518, -1.4304668954737363, -1.0591108022610853, -0.9059390980381001, 0.583652906700815]","[-0.9852331, -1.1743189, -0.39828643, -0.05817976, 1.1353978, 1.0010593, 0.4665092, 0.8327022, 0.61582124, -0.53648114]","(10, 5)",1e-06,"[-0.7379488348960876, -2.540318727493286, -1.840105652809143, -0.8918927311897278, 0.08170892298221588, 0.5941349864006042, -1.4456164836883545, -1.1646456718444824, -0.879341721534729, 0.9074018597602844]"
30,"[3.6797197203677383, 2.6841988295801826, -1.355879757919341, -0.9314851555473704, 1.8615556975115024, 2.590151730329535, 1.4312375358488243, 0.6150920298430339, 0.27271521074882693, -0.30257438887931704]","[2.2680611852453083, 1.5951686417793356, 0.7361818190965546, -2.257549509599412, 0.4052039186597771, 1.7588772213178303, 1.0941676416426898, 0.10855137933065517, 0.09262857045051104, 0.030194813591321132]","[-0.5370432, 1.3298347, 1.2414103, 0.7485425, 1.4798448, 1.4370139, -0.004311582, -0.13245042, 1.2253247, 0.026967246]","(20, 10)",1e-06,"[1.6271958351135254, 1.4374778270721436, 0.8145413398742676, -1.9633673429489136, 0.5903134346008301, 1.6202101707458496, 0.920028567314148, 0.29257112741470337, 0.10911524295806885, 0.026463806629180908]"
