seed,Test,True,ARMA,Order
38,"[0.19644936950695574, 0.7281072577741707, 1.1272456055662539, 0.8525148113636306, -0.3894738733621225, -1.603538127060835, -1.4450464554723474, -1.0456602876981642, -0.656953379263158, -0.013529857602883555]","[-0.009104065229563349, 0.20100140212173742, 0.627606556713302, 0.8134423272096029, 0.4457936477588292, -0.6123706972415371, -1.2973527784400667, -0.7963700662523142, -0.6474752545720072, -0.3332157519771544]","[0.037757062175255096, 0.19464383353189268, 0.6617461444006275, 0.8448057986724906, 0.4603513430631821, -0.6314802011877507, -1.3536504921251675, -0.8501811933702306, -0.7034908138663658, -0.3268950796769451]","(4, 0, 0)"
39,"[0.674737531176434, 0.22585632107127612, 0.1447173558891808, 0.8449839033204969, 0.981149081186912, -0.12607406087554024, -1.1291825113924396, -1.7708241223934436, -1.9237683696617718, -0.7785626463038531]","[0.5973708668962577, 0.3760520977283051, 0.037830272207123566, 0.125802219785619, 0.7820827934276874, 0.5901076844730684, -0.4211279031120744, -0.9186185598364025, -1.3115148424752423, -1.2680109484241506]","[0.5847266134104437, 0.45621989465970714, 0.061322496041987015, 0.12367193950700966, 0.7679501040758266, 0.5627818743327391, -0.4174115607101985, -0.8816461311870215, -1.3296266756243766, -1.3165402342773638]","(4, 0, 0)"
52,"[0.07698530595451958, 1.302073473651972, 1.4133234630846068, 1.764720429031175, 2.3154781653454277, 2.362995080574064, 1.391187672921547, 1.1643013582939798, 0.39764984455662633, -0.1456017266395344]","[-0.6070785987528169, 0.380524605330928, 1.111811170986508, 0.8574178775913528, 1.3360114902354987, 1.6474724202276785, 1.5392588704602248, 0.6215582376914347, 0.8535222394482624, -0.02911127516750489]","[-0.5439964197233036, 0.38418305460108115, 1.0402231810270197, 0.7588698397337432, 1.2667530881248925, 1.6598863204953143, 1.5103351590746448, 0.6367142073978693, 0.8937892514055732, 0.07818631448749297]","(3, 0, 0)"
44,"[-0.596807469842795, -0.5418199152020906, -0.16319197357150295, 1.0265786547029618, 1.277305455370556, 0.9388726183629851, -0.39804662005942176, -0.8884212270675725, -0.8771282643782096, -0.6632583023674431]","[-0.8916833748784163, -0.15096578240358682, -0.4663370240002972, 0.06997653842864565, 0.991590385488639, 0.7815102626262366, 0.5481174870498668, -0.6721053635843551, -0.552368545275395, -0.6009439917405122]","[-0.8396911503173489, -0.2293324887379975, -0.3689342800679637, 0.013663105085726213, 1.0370946576680689, 0.7991093601574433, 0.47787930953132696, -0.6790637961088202, -0.6086187288527445, -0.5210895000791103]","(3, 0, 0)"
48,"[1.7841674166006096, 2.2003436022919436, 1.0119687774891792, -0.26618771143275843, -0.3351779204101464, 0.21005192911370119, 0.3921341847760322, -0.25692673846648806, -1.0095307649133711, -1.2657635522890587]","[0.8633880684430364, 1.3524733823790913, 1.5241069111023977, 0.24991532193798038, -0.3911453724017486, -0.13960523420927207, 0.2798545462183372, 0.2522069116668636, -0.38303019429991986, -0.8180156677634112]","[0.7956929608402213, 1.4399957880365464, 1.4822897743994554, 0.22581838170977075, -0.4322709491247013, -0.06706875865628537, 0.3284985265604158, 0.24379133594297897, -0.4097324210809659, -0.826882410638046]","(3, 0, 0)"
46,"[1.633972604008512, 2.0515556040711123, 1.2981827694919237, 0.0014295668353975222, 0.11633872874199408, 0.8278345371025561, 0.5531603536194274, 0.4213312298761668, 1.0650114075866626, 1.7370590875200516]","[0.7386829754656061, 1.2646311162757091, 1.419240045933258, 0.5885627465252948, -0.2928518064272499, 0.26276463195561905, 0.6964522211247466, 0.2049342430570541, 0.31886410834763973, 0.9055793534128427]","[0.6995830255535274, 1.264645177643044, 1.4060862205168962, 0.5910574677266744, -0.26921055709783825, 0.3185645351361166, 0.7558598448326636, 0.17952542186855375, 0.290639930232116, 0.9365403059317378]","(3, 0, 0)"
45,"[1.5986809186122513, 0.5870517951914, -0.41358013736480403, -0.4052438815562328, 0.7583692513653287, 0.6914356783987883, -0.44176982189254166, 0.21781130501365153, 1.3373666074715205, 1.2397585200818428]","[0.786672168079583, 1.2053448345724598, -0.015620622094829839, -0.4057698263173891, -0.20235896839753825, 0.8595487355640978, 0.26166131061673936, -0.5726004772009113, 0.5041115436141073, 1.085310835664467]","[0.7855387053633291, 1.0858785476155681, -0.07948775299992339, -0.4046387914098875, -0.2675040310197128, 0.7221039952212106, 0.2389443650535448, -0.49772127466461985, 0.4939024644608407, 0.9389503190496485]","(4, 0, 0)"
47,"[-1.009250979898832, -0.7701319154712624, 0.08930738572817859, 0.2566093204995177, 0.8323242941617286, 1.3232039795721067, 1.4124786199861312, 1.6719219791951865, 0.8777050605621279, 0.23718701237558681]","[-0.7287000669637255, -0.6449009464169694, -0.4476814422627777, 0.3131481068595674, 0.10003526706973398, 0.7823066606268616, 0.9320506492586759, 0.9464532953567933, 1.1986953315167899, 0.278357394803733]","[-0.7442482189536757, -0.614996044641971, -0.3790266130991827, 0.2617692978192798, 0.11726049248996227, 0.7938789546773295, 0.9220186203894194, 0.8988832859128334, 1.1702562648288766, 0.23310875949291285]","(4, 0, 0)"
49,"[0.8382158388849568, -0.0017823148800648614, 0.351562312056268, -0.42582646617299624, 0.2523567822596229, 0.3716366264252864, -0.3938303597605525, 0.34268572030417965, 0.12956473948667274, 0.004100428920260829]","[1.221039115717665, 0.22769628102612427, -0.115630455393127, 0.4093775397528315, -0.630515236049412, 0.5676144002843289, 0.08782942628312196, -0.43774507290211345, 0.5615582567552364, -0.15121438889094543]","[1.2356530570143225, 0.1577757555867134, -0.1512160632137993, 0.3620353663958501, -0.7244598123672985, 0.5573296228908312, 0.06522212542471084, -0.4302709756178327, 0.5961345675330125, -0.21073183451855418]","(4, 0, 0)"
55,"[0.0597406406247821, -0.1678599922012634, -0.9621383958223706, -0.7242586151080308, -0.17647016738731758, -1.0147712914908675, -1.2606932635760457, -0.9813658235672976, 0.39282085477752915, -0.09476282728208718]","[-0.039946685167910584, 0.07971398320873739, -0.2077169838056321, -0.8582799039195546, -0.2951186631482535, -0.028910835813190816, -1.000315873584272, -0.7605353267839096, -0.6010981601753429, 0.6933699348652006]","[0.051796029700728635, 0.012469207332026985, -0.16346236274859904, -0.8729019393561981, -0.27553108942717164, 0.026009485266866167, -1.049920624873541, -0.7892771317917976, -0.5252855226483399, 0.67643403853621]","(3, 0, 0)"
58,"[1.510355179741854, 2.0301940980054147, 1.602444767843888, 0.48715777178627817, 0.5733721127916374, 0.3788016595510697, 0.12708588853599878, 0.2878831986044595, -0.5186035928698992, 0.01585601199575798]","[0.6038429570714859, 1.2084337012061108, 1.4259772474023593, 0.8894561441427083, 0.042429699714923996, 0.5521572629341753, 0.10272302808398204, 0.07572437449400776, 0.2500210113574556, -0.643614098548627]","[0.5820087960989462, 1.2308476321640647, 1.526895450624374, 0.868822368722868, 0.061337886283188925, 0.6586215407960179, 0.1823412301726084, 0.04640271026550623, 0.3047983754020542, -0.6567813006891372]","(3, 0, 0)"
57,"[-1.8630088636675026, -1.0000216091411298, -0.45118413556671233, 0.5061288786413728, 0.42788040157579815, 0.9503932125234023, 0.20599477772784902, -0.7118420755422327, -0.3173799698110968, -0.8456177701374148]","[-1.2194831459856854, -1.25326729067466, -0.3733879638037998, -0.26449015366481243, 0.6383739554737791, 0.10869342383890865, 0.896046500603948, -0.24202847257412496, -0.5908278392551702, -0.021966050183511693]","[-1.1966063973452006, -1.2350934026672238, -0.43669020327374863, -0.2667826003660892, 0.5335610820913957, 0.13703011275707255, 0.7918620811136591, -0.1382507490538856, -0.6348507092579645, 0.019131906955944966]","(3, 0, 0)"
56,"[1.062138497073678, 0.23995009130914868, 0.16192740318761228, 0.44955851787324586, -0.4035215430663204, -0.11828645815823358, -0.6068315102284053, -1.6416433869243496, -0.4409004571584503, 0.9281506778209008]","[0.5422957253340213, 0.7909906344066674, -0.155545225894185, 0.2397000161347048, 0.32970850980589345, -0.5683757979692671, 0.16590144082639996, -0.6897822306416053, -1.296752271603547, 0.20747567864332317]","[0.48000166261224164, 0.7595087879081439, -0.1278380497418552, 0.19637130336361552, 0.3851912282306793, -0.5277842019762989, 0.1066987508634541, -0.567566594138914, -1.3001430770940179, 0.14922304280083987]","(3, 0, 0)"
54,"[0.31203083810310817, 1.3613904788509006, 1.195532054916856, 1.4605682871991594, 0.9667515199872356, 0.19552214134450574, 0.23813215504759117, 0.8253908993813368, -0.06620810044579895, -1.3417662727601902]","[-0.6043694926509021, 0.6142155844285593, 1.054282686636621, 0.6683907115985456, 1.1263729313998867, 0.4035650542872923, -0.0062603857991404, 0.24126234794716137, 0.7047597254077561, -0.418587963149677]","[-0.5978875582025143, 0.5285575802150775, 1.0787227593338264, 0.6396907456589686, 1.1428103912969256, 0.5062266735455574, -0.006788882187035494, 0.3007941506371622, 0.7502320201461726, -0.39339219553936927]","(3, 0, 0)"
59,"[0.39252656193441793, 0.10522439082413843, 0.5670246387022652, 0.12040436613973832, 0.19563415423037656, 0.7403999543365595, 0.7732802993362309, 1.1573201297249, 1.1896231605276943, 1.5076741635150042]","[0.8636055764672351, -0.039276226299199635, 0.12486250397373824, 0.504593386715396, -0.1318923272179597, 0.2615803178393564, 0.6096097954168813, 0.4684754016277902, 0.9230824289110049, 0.7280819460721919]","[0.842918650953705, -0.09233971501703359, 0.19085611066839359, 0.5042689322200912, -0.17465757731155496, 0.27174938051645503, 0.5890037662184469, 0.41624737216922064, 0.9096784390758383, 0.7074002976866124]","(4, 0, 0)"
65,"[-0.42039777932292344, 0.42722690301195787, -0.5352817346039381, 0.1859956830270023, 1.091069816807214, 0.7775177400114549, 0.4600446314126952, 0.3717937853021772, -0.23669389191899443, -1.3437604318320369]","[-0.9918975082850874, 0.07555097481962025, 0.38945141560214774, -0.730007442405012, 0.5509994042295083, 0.8155701146924598, 0.369732682665225, 0.27517829008008265, 0.2342046402621359, -0.3537962120500624]","[-0.951129591029806, -0.007792703699801229, 0.44023191372826165, -0.7099955073114148, 0.41812293822380986, 0.9022317344022677, 0.34226296467733497, 0.255601222242984, 0.2589490548616285, -0.3143527760381981]","(3, 0, 0)"
66,"[-0.6572802407303726, 0.33901436137985463, 0.7605520246291917, 1.1789933961523502, 1.5431756664136453, 1.6087590203804698, 0.7841834180057043, -0.2558724857185287, -0.9590685788386175, -0.24734287231134922]","[-0.7877360010386747, -0.26341224021103526, 0.47072048148537227, 0.5251917838865056, 0.9163975042090974, 1.0849769143090966, 1.0662705632259215, 0.2510481363927436, -0.3813965539149005, -0.7683703018811673]","[-0.817492383556978, -0.25534672872868236, 0.4651007754261185, 0.5022050233803536, 0.8850642905886118, 1.1255832246347164, 1.0916194552835545, 0.2907709451502182, -0.3663577094706678, -0.724649582696631]","(3, 0, 0)"
67,"[0.729710885124822, 0.3580871125226279, 0.3820539067858688, 0.5636147765141644, 1.1955202759757722, 1.1388831600958804, 1.5734531705372468, 0.708418386939582, 0.6764489948362266, -0.1955689737740191]","[-0.06776950810963145, 0.7635956391796377, -0.023710707067190917, 0.39390926031946427, 0.3666601463544322, 1.012190202798556, 0.6327880586966025, 1.2570591411889454, 0.0798888163451093, 0.6365045866636718]","[-0.11717131241574891, 0.7038331652789495, -0.042627213511786666, 0.33266381459503547, 0.4351078346958476, 0.9681282382048295, 0.6693919708583269, 1.2192487620231252, 0.18824525355106558, 0.6041758112517384]","(3, 0, 0)"
68,"[0.21263473829745294, -0.02159108115931474, -0.7355939908870763, 0.11311593314200874, 0.803653853729746, 0.6037626099035067, 1.279551432608447, 1.4060288513171892, 1.5881124618570683, 0.8294192362309764]","[-0.67661078237541, 0.5509401294851579, -0.2970611459018937, -0.5870634179361295, 0.4066476421100735, 0.6003300326747092, 0.3035975935661521, 1.1277526358253709, 0.8421525334045038, 1.1670361951548163]","[-0.7013021416890615, 0.47974648824704613, -0.2957578749474919, -0.6106832979322161, 0.44644144493458227, 0.5486391516542932, 0.29978814231555806, 1.1525860742495606, 0.8215795281841349, 1.133590170135296]","(4, 0, 0)"
61,"[-0.0036954660390594585, 0.27550783067996126, 1.1239127417131645, 1.1687177412800736, 1.1831522415013263, 1.5818914086661853, 1.559611048077245, 0.11037240701178674, 0.016774561263831866, 1.010526995482934]","[0.1346935947096829, -0.0710422633939009, 0.3110289623769117, 0.9683982605247086, 0.6845186110177193, 0.8408929359924666, 1.161444940669952, 0.978888577742269, -0.37907188185934776, 0.20631050219350575]","[0.04758443280691382, -0.10820450415497943, 0.34042323727623924, 0.9927540180386043, 0.6736274238313124, 0.7749276959199312, 1.1749041895395702, 0.9682500069765672, -0.4240161283303947, 0.16299659642677544]","(3, 0, 0)"
63,"[1.050059351997494, 1.1375970531793824, 0.9018157948913458, -0.34597085854476634, 0.17781742522708355, 0.9972768497318145, 0.7951631711450577, -0.4408745917527447, -0.4381256548375619, -0.12837392231248315]","[0.7913603395091786, 0.6543791822429046, 0.8104074620579301, 0.4966120638623807, -0.5942768904759567, 0.4749558704650619, 0.7597989144992836, 0.41526371389541594, -0.6485064487004526, -0.11387243048733556]","[0.7383585821193728, 0.6716435561118811, 0.802153867597503, 0.5141542693532721, -0.6019945527899665, 0.4991223865088191, 0.8482115882206829, 0.328995633400933, -0.6655170841449528, -0.08189421051758611]","(3, 0, 0)"
64,"[0.23852963012555473, -0.6688249263640104, -1.0927167707160792, 0.07694186236625611, 0.9028233188183508, 0.8403579258344346, 0.3291329648542219, 0.6839714346741905, -0.10916170940259728, -0.36405424235644585]","[0.17516356987934845, 0.1509478451858805, -0.7442988489569506, -0.7205673462376039, 0.43722553548505805, 0.6842105510758217, 0.4982526502965237, 0.08000663970596003, 0.6439681148212105, -0.43114576681320255]","[0.18775206389969004, 0.1267331988154754, -0.7528940555367354, -0.6370033797439159, 0.4605037370567673, 0.6480094897216713, 0.49366010751262657, 0.11145698420001682, 0.6444065978199021, -0.4729725074677197]","(4, 0, 0)"
62,"[0.5807857887775404, 1.309510170126392, 0.9957710142775008, 1.4423135326117467, 1.5073385732072293, 1.860124071525592, 0.6912137815587395, 0.7148231064998893, -0.005251213892576323, -0.10066984423083652]","[-0.00012903537550514044, 0.580850306465293, 1.0190850168937455, 0.486228505830628, 1.1991992796964326, 0.907738933359013, 1.4062546048460853, -0.01191352086430325, 0.720779866932041, -0.3656411473585968]","[0.04508766419279334, 0.5998414904629064, 1.018222361349946, 0.5357352847355304, 1.1458969171183397, 0.9204100586337974, 1.335682194350191, 0.07426959982321824, 0.5881327195384936, -0.3207486793680499]","(4, 0, 0)"
60,"[0.1439260942628195, -0.5516878304774138, -1.253597244706976, -0.6692049931331621, 0.09871728711618077, 0.7569978747274981, -0.1512836748371179, -0.2700760217890171, -0.642043653227157, -1.5500347664759542]","[-0.4775463092182544, 0.38269924887194673, -0.7430374549133871, -0.8820785172502825, -0.2281657345080208, 0.21280015437019117, 0.6505977975424025, -0.4765825736083192, -0.03178473498485748, -0.6261512857347282]","[-0.49131001772571087, 0.3906009798809994, -0.7469606218886867, -0.8593362417473565, -0.18994155496065607, 0.1616364586002162, 0.66070346162426, -0.4204994861295973, 0.002985240522551502, -0.6190328202735017]","(4, 0, 0)"
70,"[0.10693495482647092, 0.8232310013173386, 1.2053241614363102, 1.4700828560388284, 2.016568771808842, 1.2639616120501023, 0.12985046941863365, -0.5398238340701509, 0.29509613985232397, 0.6861929947714235]","[0.13230756292857776, 0.04078117336218204, 0.8028404146362476, 0.8039039541181864, 1.0681308789797352, 1.4825033323189745, 0.5227099458906149, -0.1315045035266738, -0.474071582306814, 0.532131931005731]","[0.13855353335715073, 0.09531092993885718, 0.7299002371736376, 0.7994739754758855, 0.97663168376443, 1.4313273706128644, 0.5204705375251876, -0.16645206078855357, -0.4115175372783242, 0.524680819148393]","(3, 0, 0)"
71,"[-0.3554152505113094, -0.02975410376236226, -0.25959945907995363, -0.9358414537869765, -0.12890522663637843, -0.5793798935908536, -0.41284641392986976, -0.17134171205282966, 0.7643885659247678, 1.6737191415560615]","[-0.043121824067123976, -0.3338543384777474, 0.13717306547651145, -0.32818599181820934, -0.7717484578778717, 0.2569690023025575, -0.7078643947421324, -0.05891421655880358, -0.14188460377342788, 0.8353308678114817]","[0.04086448774949816, -0.3663051931319512, 0.1763187896999862, -0.3159561284378551, -0.8309266141822421, 0.2610510715129111, -0.7008890779349286, -0.17028717003221774, -0.08877111156196499, 0.7744439705078745]","(3, 0, 0)"
69,"[-1.3572221770065578, -1.689371623382879, -2.218453378526922, -2.4307958881708336, -1.608259844621509, -1.6702634237071332, -1.6587362341714638, -1.4930287109740452, -0.2854297640817306, 0.8723836238072996]","[-0.9063654868615589, -0.9040394335757783, -1.23735190659499, -1.599777425229427, -1.63090717555612, -0.7928062568434491, -1.2738602952854086, -1.0218060865287595, -0.9821256677096656, 0.2056330697731022]","[-0.8348082353959144, -0.9034621559331819, -1.2603446206219995, -1.5658770987128439, -1.6051264266066307, -0.8147891347344695, -1.239811623650309, -0.9901136844075014, -0.9368894373713137, 0.15919228492824694]","(4, 0, 0)"
78,"[0.6755184010827213, 1.1439816782952925, 1.1528557572551912, 0.7089011188918671, 0.6603542970946401, 1.455951427027909, 0.7632413159410387, 0.06502358227825644, -0.02083398634245487, -0.42931481195208465]","[-0.07286427676973314, 0.7119505394675879, 0.7880064085614985, 0.758852552974442, 0.32947484240464614, 0.49561687589231707, 1.2081429890817506, 0.15916982140016345, -0.014561328421825281, -0.013553322131542228]","[-0.08847129044706002, 0.6851660441188749, 0.8124903563983326, 0.7496962907738799, 0.3929279256237896, 0.49347142027180363, 1.1769595698425837, 0.18983658096510647, 0.02128337346861748, -0.013245074642987518]","(4, 0, 0)"
86,"[-1.053605686133575, -0.8829235935390368, -0.621673625728832, -0.8505325239963792, -0.86748778064892, 0.2395305728917369, 0.8466424303377501, 0.4149480654767686, -0.6857906490263341, -1.063394691695795]","[-0.7888615642590333, -0.6591749040040583, -0.5533361415370077, -0.34500555496032814, -0.6780297465162152, -0.5284729073908123, 0.5037670265871431, 0.5947589170441785, 0.11756860695467933, -0.7445749525036738]","[-0.7800853294757839, -0.5891533311102102, -0.6179146397738318, -0.332446625056397, -0.6125221836240694, -0.5105704492148644, 0.49419355309149454, 0.5874412672921157, 0.1395429694616479, -0.7880429116263286]","(5, 0, 0)"
83,"[-1.4898022222680432, -0.3109631005748127, -0.5951744279989193, -0.5246923011041309, -1.087759376814463, -0.4217591500611426, 0.7426609102994897, 0.7528060875519031, 0.7440215146198741, 1.45521694174279]","[-0.8928126776604424, -1.0433958834378219, 0.2107348411440983, -0.7005418485709685, -0.17442137681864667, -1.0005486884051398, 0.07851519414142727, 0.703403313228776, 0.40110443093751513, 0.5434692991511165]","[-0.9198816803992418, -0.9956971579549349, 0.2045454540736828, -0.702188554174174, -0.2907560670762563, -0.9349473576922993, 0.010244358037950818, 0.7543510202348114, 0.31997429757085344, 0.5075458634403136]","(3, 0, 0)"
79,"[-0.6303287116750474, -0.4172462558880245, -0.7572533394594584, -0.019003206271569206, 0.4268367240084925, -0.4111084786236091, 0.2619592123410066, -0.4100592315646806, -1.152792322082976, 0.0648824619404823]","[0.2835713083607613, -0.7721143658554281, -0.031189072960310454, -0.7416588029793032, 0.35182619521808234, 0.2509236263994513, -0.5365702918233348, 0.530244358252674, -0.6751814106910177, -0.8152016167374673]","[0.27405440066532516, -0.68394790534619, -0.06330517679431602, -0.632091330902962, 0.23263531517359787, 0.31961806940435417, -0.5639899558204371, 0.4648678169163223, -0.5416000001959258, -0.8980119196052079]","(3, 0, 0)"
81,"[-0.11825032407236824, 0.5133704831195337, -0.12972211393461386, -0.4753794384972261, -0.9712735767247948, -1.0070699126716907, -1.206213243148309, -1.5575639861401895, -1.9123992920490966, -1.7841343264400584]","[0.7205027123815342, -0.47850168026313533, 0.7526213232511014, -0.5060327755601646, -0.2223630507171438, -0.8600920513662229, -0.5770238869885792, -0.9177012996540194, -1.0987133363131798, -1.3630426238925066]","[0.6489964565007554, -0.3655413184618288, 0.6698197213094053, -0.39247208699041547, -0.31979144037154333, -0.7736633059310813, -0.6410817167651013, -0.9161289027553589, -1.1831882323331122, -1.414105465642487]","(3, 0, 0)"
82,"[0.5965816182483674, 1.2990713543801533, 1.9234065624372736, 1.406278453618136, 0.7102716267622579, 0.4623261112951719, 0.3983423829156504, 0.739548226017041, -0.1040164850777916, 0.4512726259317906]","[0.09717399050939596, 0.5479946229936694, 1.0250740428833187, 1.4108695409956142, 0.700843683120329, 0.3598497852020934, 0.28240121869412527, 0.25714177356858775, 0.6109773392327471, -0.40950515469416515]","[0.049765652130589776, 0.6015427447852152, 1.0368054341425883, 1.4914035317837888, 0.7499560049301945, 0.351797649157433, 0.25423162696932794, 0.2058280725440268, 0.595065676505245, -0.4070931699850381]","(4, 0, 0)"
80,"[0.9636377985163948, 0.39882579524252343, -0.21844154512904299, -0.9147408817499261, -1.010092074545899, -1.2257992419273558, -1.080561231886611, -0.7668514536382576, -0.2311160523526119, -0.2887952520021184]","[0.8155109290355714, 0.555882333998609, 0.12088462824321891, -0.27888385925065245, -0.7752989521245999, -0.6224425984835991, -0.9145779426855563, -0.6232722605438328, -0.4552153233663412, -0.003508390669441308]","[0.8358458024050706, 0.5141824412236655, 0.13649783703766008, -0.2645724890912325, -0.7877911411757842, -0.6474726203295468, -0.9414535529079501, -0.6539281546864171, -0.45834294545707177, -0.020920501928002343]","(4, 0, 0)"
84,"[-1.0773882682801095, 0.09131150572273972, 1.4135278971612522, 1.2096555701259912, 0.8029150850723583, -0.31707212454065514, -0.10828527337610316, 0.10507598256799106, 0.7912046177200425, 0.930934130756752]","[-0.5941391785567693, -0.7803186790017248, 0.4814708452236021, 1.1727924745494511, 0.6232593328512657, 0.4912854186467255, -0.5627148338640179, 0.17307214355590578, 0.018539910790038167, 0.7819346623250234]","[-0.5687329414918412, -0.7350256857225379, 0.41766678255135936, 1.1583028589368354, 0.5622220656920762, 0.4867006992204742, -0.466093934400591, 0.1766572639304881, 0.09716561737041662, 0.7102646921500467]","(3, 0, 0)"
85,"[-1.3312969593621875, -0.4819894714107096, 0.7434917037912979, 1.3435029603963398, 0.5023171287675088, 0.1822480400419817, 0.4313604082137851, 0.7866010130572215, -0.16108620425007575, -1.0858749210216962]","[-0.7413632764748638, -0.9606153211247557, -0.001681810848331744, 0.7443326092154638, 0.9713366557886078, 0.01664880087320486, 0.17392363960537927, 0.34439858841109544, 0.6144017188516737, -0.46828706367591266]","[-0.6899758922475816, -0.894432262919446, -0.04010836339316109, 0.6793015902994474, 0.9769228219625704, 0.11952057254949722, 0.18320104982266866, 0.3131243338297586, 0.5534451257016423, -0.4015548311951349]","(4, 0, 0)"
77,"[0.24622065274750415, 1.0890274668618551, 1.1317004588103599, 0.9311535368048494, -0.38726243233612045, -0.6997465916529763, 0.4300835202433518, 1.1174021830434606, 0.6362336595329503, -0.7596260725035046]","[-0.41153606729488623, 0.45198868639494727, 0.8630331236643815, 0.7001838969781691, 0.5810615883157648, -0.6777932264940029, -0.3608499784059748, 0.6105085094463392, 0.812147928320291, 0.23015969537280478]","[-0.3222775511175986, 0.33785222089425443, 0.9062883532519065, 0.675610656968962, 0.54933931831623, -0.6245965787726098, -0.4265421040211929, 0.6462494285927772, 0.8262189526831458, 0.20717877665650875]","(3, 0, 0)"
72,"[0.3400362027505685, 0.5494297971996708, -0.18855905206840756, -0.17295932256218585, 0.2865234062973911, 1.093810300008649, 0.2181147109918452, -0.7681901979743875, -0.8638393452899186, -1.4775207517018147]","[0.5890670145315953, 0.0455026954847709, 0.5266784494572854, -0.4518982767970502, 0.05298981583633926, 0.2600284983792215, 0.9637960508190383, -0.26378331441767394, -0.6362985407655505, -0.5456900749071434]","[0.64523455992908, -0.0021434418720836512, 0.45801589005418797, -0.413383838300752, 0.012154791585555602, 0.35084350585751556, 0.9571548193195807, -0.27699253135410695, -0.7127368174769039, -0.46571979736894586]","(3, 0, 0)"
76,"[0.9170068935406449, 0.09921659153687062, 0.027081572364266338, 0.35196597674754104, -0.6042087501673028, -0.6224803369831329, 0.30027899987465956, 0.4035081592790838, 0.46612235038460753, -0.10607835979586652]","[0.6285459706553915, 0.602733908212949, -0.20215036256960392, 0.1281567536490683, 0.2878875999230069, -0.7481525501288062, -0.24840406191872977, 0.42448103083402444, 0.19126764386207157, 0.3704885284535717]","[0.5807087531984134, 0.46221454626687514, -0.21844816356339863, 0.20241667571074193, 0.36042356861338903, -0.7723204176869622, -0.22368462629944896, 0.4659267318033983, 0.09337194803687704, 0.33108887922327146]","(3, 0, 0)"
73,"[1.5981682754602797, 0.47613100745064985, 0.2460839045818798, -0.4131581420894077, -0.9561774860620392, -1.6382663600870793, -1.60388481734283, -1.8562502351959105, -1.7275972666232273, -1.8483471817968984]","[0.8859232350970252, 1.155206657911767, -0.10147232150523372, 0.2968200653344966, -0.561568174756656, -0.6753933986837113, -1.3005696607452237, -0.9535999869702182, -1.3794502417108014, -1.0378721457678266]","[0.732838457997293, 1.0865055653244418, -0.09398897640872905, 0.3319426482200859, -0.40156229576502445, -0.6675635886280369, -1.197345754525009, -0.9736979527089508, -1.3581806164300367, -1.123933412374015]","(3, 0, 0)"
75,"[-1.3082483367598985, -0.4126170132094682, 0.4024540984496342, 1.0164133685964796, 0.8318673149626878, 0.8285374739095881, 0.8139221795242224, 1.370061553210951, 0.32954309265826653, -0.00567307499851466]","[-0.9860339790492562, -0.8152313472352704, -0.005001339591833021, 0.4049547682455507, 0.8139359844737042, 0.42489932272583575, 0.6160878125466702, 0.5058782732508873, 1.1171224165855074, -0.22901811563448715]","[-0.8776256426908122, -0.8098224340673313, 0.0837125680438458, 0.36210236949326435, 0.729899035550486, 0.3723341811141309, 0.6022435748381341, 0.5503524221025854, 1.129383671836057, -0.24952545695054262]","(3, 0, 0)"
88,"[-0.12535351901394975, 0.08603058028843796, -0.5926475112831628, -0.7978512218358794, 0.03577122429240581, 0.44487145056039135, 0.7412664821382897, 0.07631729439473611, -0.9968099512419335, -1.4889540761275784]","[-0.777693907859682, 0.2634934349158912, -0.04571613716950765, -0.569789442698409, -0.512956500486675, 0.29224947453574324, 0.2987467132925197, 0.5918931254920299, -0.21962926835127883, -0.8869953170662941]","[-0.821891694450012, 0.25036678341499113, -0.02037051400990443, -0.6402862430227235, -0.5126797506331033, 0.3074692819989835, 0.31225707755219057, 0.5391295745540066, -0.19249052873637795, -0.9158786124855364]","(3, 0, 0)"
74,"[-0.2080154370523759, 0.3240087946226874, 0.027330453640296903, -0.556590845023878, -0.9979922323030095, -0.15365661263831965, 1.1602266237061287, 1.5451893745146046, 1.8652690599464647, 1.478337072429936]","[0.6646332709888394, -0.5403320725467956, 0.5941748308960852, -0.26975696180774567, -0.4217123641200052, -0.7871360502430069, 0.23991141248318382, 1.0402709174645368, 1.0250539157823362, 1.3527421020552968]","[0.7024428547929199, -0.5733330274975162, 0.6213728502277582, -0.31315531773670424, -0.38584110431968793, -0.7964312406840836, 0.21724476006539672, 1.0730424538409509, 1.0654570670601728, 1.379960644599005]","(5, 0, 0)"
90,"[1.4245022281618231, 1.799329875111626, 2.206378161820413, 1.767049604338895, 1.9183454248212044, 1.0744307019004289, 0.16026964917266995, 0.12059175201549427, -0.2668079118155402, 0.2526246011402322]","[0.48790248543746223, 1.1805509854430922, 1.2090543823900801, 1.6018509706253732, 0.9661241190262085, 1.4352833653081, 0.35678901924637885, -0.018124860450519475, 0.129654182240754, -0.3316350029359172]","[0.5813573417807841, 1.167023389650021, 1.2711728265416593, 1.6023588494111294, 1.0293909208791203, 1.4568885633040425, 0.46485513168344617, -0.03881449355265176, 0.2160404526983794, -0.2996071695954496]","(3, 0, 0)"
