seed,Test,True,ARMA,Order
32,"[0.3506014663779186, 0.4588708537287912, 0.6111870775222703, 0.7009557382411274, -0.33368058540159296, -0.3390673579828756, 0.5324358915267126, 1.0572967256413448, -0.0632253738257702, -0.19514903824269536]","[0.8439740211373092, -0.07138554419073598, 0.4945636258241592, 0.3639052646101907, 0.519003105936032, -0.593182138369609, -0.04247628879807108, 0.5536740359257482, 0.7804597076784707, -0.45345522766500557]","[0.8439577981165968, 0.13392036361130952, 0.33501620578066404, 0.44841694582451935, 0.49268818002949755, -0.48839793740998483, -0.22832821227834682, 0.5792422149683816, 0.8422085757793933, -0.3294620719017834]","(2, 0, 0)"
30,"[1.2814768747862875, 0.7463073658718593, -0.6197134102433243, -1.037345767595449, -0.9008440397125207, 0.3078315876998408, 0.021581535938597574, -0.8796944083338989, -1.081324879546362, -0.7193946696679511]","[0.43879132928733666, 1.0620812101426191, 0.21526676080054974, -0.7273467906435991, -0.6736723722736494, -0.564007853575696, 0.5898355144876888, -0.2733362213052468, -0.7430262976812755, -0.7098117307057242]","[0.428604341235575, 1.0376145875306586, 0.32526734880022856, -0.7688459590570186, -0.6778940466296173, -0.5329243680173431, 0.5562085651245687, -0.2144364063950771, -0.8410152943402656, -0.6982536067203642]","(3, 0, 0)"
28,"[0.4827028715952292, 1.4678364634529344, 1.3724934473667743, 1.0175367027674227, 0.022275222104768733, -1.2173349750094409, -1.5869965908448915, -1.5499497042573265, -0.8359834031823613, 0.6462443282473137]","[-0.5051172102800897, 0.7352614767352741, 1.1002057250852975, 0.8223905848241256, 0.6063414103553598, -0.2808954830729112, -1.0768872334729853, -1.0485529741083988, -1.0256732172031269, -0.3231467945807978]","[-0.4592609943739561, 0.7928201095344166, 1.1836181063073403, 0.7471840011233444, 0.5782686941719286, -0.281838499914134, -1.1124848578070465, -1.0194862162962104, -0.9792191041739855, -0.315974318737406]","(3, 0, 0)"
31,"[0.30341332875453375, 0.6340193617748036, -0.4182343227752221, -1.673433365507266, -1.2106983823717758, -1.4389688373836647, -0.5797403527290004, -0.6714112545638771, -0.3776577208129207, -0.08125005336654284]","[0.3498758509388278, 0.12847540328511986, 0.5697816601322436, -0.7031251528413439, -1.321870789086594, -0.5497629878284789, -1.1640873434694252, 0.0023033190057122344, -0.6725629140667332, -0.04137626377955411]","[0.3066835048034068, 0.11188961945269979, 0.5494033716342376, -0.6111762912503478, -1.2767541330185366, -0.47586933014082966, -1.0970167528831278, -0.12109694368717006, -0.6110039001052028, -0.15939233939399866]","(3, 0, 0)"
29,"[-0.6951020745913491, -0.4279128852287399, -0.918815378963657, -1.5019427858790135, -0.9666298109046424, -1.2665671590539103, -0.5775728482030134, -0.5941856313162276, -0.85509393819885, -0.1997517813043379]","[-0.6397628680588204, -0.3752206405619389, -0.24030256494777044, -0.7986640964897718, -1.1026107376341279, -0.4153244420875785, -1.058904938010121, -0.04812037919795287, -0.5701254417172512, -0.5700312173402244]","[-0.6840219682664596, -0.37618741283304513, -0.16749856151630793, -0.8477441970014876, -1.1462222147740535, -0.4271181542652628, -1.0963937145639664, -0.1615741144918828, -0.5620991450732112, -0.6831370097323679]","(3, 0, 0)"
27,"[0.30040852971221266, -0.8635496756460255, -1.108788642005658, -0.8672904828370445, -0.8654089035328904, -0.3739462395836059, 0.1337306828910472, 1.1138616177334373, 0.38626475625811707, -0.33900312009153016]","[0.8854465399547372, -0.14231474026515595, -0.7923923055134475, -0.7125924892489344, -0.5109942382125773, -0.6099117844266018, -0.06899034737030504, 0.1682258565761997, 1.0297486894453374, -0.12860958846455167]","[0.9265067876609083, -0.13582532101554207, -0.8821940929960601, -0.8152148679441387, -0.5754273769743128, -0.6190658242986125, -0.05890495602765799, 0.21975393316937375, 1.0777068471248372, -0.03444311447174972]","(4, 0, 0)"
26,"[-0.1476671635400908, -0.6899565897852734, -0.03942738610034574, -0.041523039371085035, 0.37620241401136634, 0.9867307216742658, 1.5340533666055696, 0.6723199389881331, -0.846517886351763, -0.954506590760342]","[-0.4001582927652938, 0.052411982842556104, -0.7161625812065515, 0.31865390450292996, -0.20084999162255002, 0.47662740982264135, 0.7484170167629451, 1.159844858224097, 0.09239750987608464, -0.8927166412898053]","[-0.42366166051839066, -0.008904324616980291, -0.6163210609253748, 0.2565336445956844, -0.13974853438119625, 0.3877588379694156, 0.8030886121546569, 1.1377036635897033, 0.12465631481746542, -0.9015177252128073]","(3, 0, 0)"
11,"[0.9041179734816571, 1.3128266820579864, -0.08782188970286342, -0.06818098498933428, 0.5325499896573734, -0.23708674172827865, -1.4348660106393332, -0.4933474587559986, 0.2532797562564811, -0.8010393132490272]","[0.14243923322386534, 0.8328983568697245, 0.8963775036231242, -0.5360106415144255, 0.19982433576787847, 0.4326378217734342, -0.45340565261499577, -1.2081631843318354, 0.11073413340991906, 0.19791268955152155]","[0.0942430038447607, 0.8860053476397419, 0.823106876680233, -0.5614351148585177, 0.22676197138247212, 0.5460424585492424, -0.5099933159468761, -1.2068320703548205, 0.17217947543594436, 0.21527328759452227]","(3, 0, 0)"
25,"[0.08350745381100205, -0.8242756176951482, -1.011413625416096, -0.09363244690039896, 1.0122823555583396, -0.016629211871084237, -1.339810472310588, -2.081997936761713, -1.4947085922194965, -0.5558238426717202]","[0.32273195480336575, -0.07785852359068082, -0.7853463558998078, -0.6187404474661921, 0.21573777683269707, 0.904413467141991, -0.46883594544207974, -1.105392499589548, -1.529301686966939, -0.730057748736027]","[0.3052761778132695, -0.10632976537857906, -0.7156211404749397, -0.600429818185, 0.1960620373519396, 0.8409186229337995, -0.47466020685638927, -1.0181239520267438, -1.4460321883698037, -0.7509091614636473]","(4, 0, 0)"
12,"[0.15975893077394543, -0.6714124980704688, -1.290158604413174, -1.6942023779207949, -0.2920549054519067, 1.0150965112652832, 0.5274579925926742, 0.016072710814402813, -0.11857658304519078, 0.34342723076854553]","[0.9234486538678678, -0.30196539615998846, -0.5204297999904746, -1.029943704417937, -1.1792305257118265, 0.2975603574040065, 0.86631633256328, 0.09429982631103423, -0.0310772023411143, -0.10303798187463363]","[0.9662306279460292, -0.36937812225166333, -0.532093655143204, -0.9266370119247705, -1.1858611057522395, 0.29383054003674913, 0.8368970822635328, -0.028227886027984983, -0.05117801066868485, -0.026445815039401216]","(3, 0, 0)"
