seed,Test,True,ARMA,Order
6,"[-0.4453356817584949, -0.8090818530260567, -0.3396503960315645, -0.45486538584113234, -1.3696958412225113, -1.3293383836789032, -0.8804124823287928, -1.1841419263023116, -1.157885584127501, 0.20079134087507833]","[0.0020627459518735014, -0.44636705473443167, -0.5858983256588408, -0.04670123320214406, -0.4315147692400603, -1.1539384566024813, -0.7523691553776627, -0.5042279046399614, -0.932027973982331, -0.6918715971363356]","[-0.0035201482892765756, -0.4441922500455838, -0.5986107369723038, -0.054721188630751774, -0.42939276566636075, -1.168059517735947, -0.7751929225724616, -0.5129050803419818, -0.9437816049785819, -0.7121834403668389]","(1, 0, 1)"
9,"[1.3720358408819346, 0.1934169010522101, 0.27509356117561357, 1.1698136779493402, 0.8396187983203321, 0.07579211512231926, -0.5409942725418014, -0.7460267956586354, -0.43181432207649323, 0.5030684841082512]","[0.636904104623728, 1.0535837885700707, -0.3333749932328252, 0.44178105779202614, 0.9489231490533271, 0.3651572237936686, -0.10678649677451504, -0.4876010241545439, -0.5022262835813633, -0.18070118028581153]","[0.6034778295420987, 1.065988979624622, -0.38113544963794177, 0.48351299697928474, 0.9230520257291159, 0.3506888901941693, -0.11358450703118127, -0.4871731658579188, -0.49227579074344463, -0.17064740348091728]","(1, 0, 1)"
8,"[-0.5392376484701498, -0.24463728906733906, 0.7282412778720037, 1.4384269050661023, 1.2770161250482572, 0.056670320913799865, 0.08564057267256359, -0.6072260147218465, -0.08552027540392126, -0.5199594079477082]","[-0.1981724671640641, -0.4401514148881177, -0.024561581623280204, 0.7405220686836438, 1.0681658707242803, 0.742933189686117, -0.31479627392925863, 0.2430387096371929, -0.7287453695404429, 0.2788524093663002]","[-0.19647562054167728, -0.44087386507163184, -0.025806820385674736, 0.7396653743278796, 1.0699146334354337, 0.7453758879744262, -0.31346133987894653, 0.24110934093838454, -0.7245192504676465, 0.2711808786709695]","(1, 0, 1)"
1,"[1.666967981434209, 0.5619832624606712, -0.6280982501808474, -0.06644837359775124, 0.3715073513466425, -0.21090634923396046, -0.3778398246700636, 0.13975286998900427, 0.6129966802622648, 1.1335116906363574]","[0.9714185287825159, 1.181258717042951, -0.028646096060804316, -0.6137752021504452, 0.24043922747747137, 0.2512877376079068, -0.33655021803791385, -0.20956471565110668, 0.2445352278145576, 0.49072906635498603]","[0.9700583496652244, 1.179465571957493, -0.017476767162809548, -0.613054770087729, 0.2341705213280078, 0.25312137432329923, -0.3329504724163971, -0.21082376480058931, 0.24190104606136154, 0.48843136129156517]","(1, 0, 1)"
16,"[-0.8925604713988429, -0.6212528188330457, 0.5991684642228181, 1.282312738377204, 1.7892923932724853, 1.0734674101721913, -0.2954125087901368, -0.8968350856880265, -0.604867114153435, 0.1009670901745342]","[-0.5361011232371724, -0.6245099097802567, -0.3089978639429174, 0.7536673961942768, 0.9054790402800655, 1.3365528731324525, 0.405190973605965, -0.4980079955931193, -0.6478310878914668, -0.28095157020770156]","[-0.523095029175745, -0.585432247713351, -0.287308155405088, 0.7398687187281725, 0.847219184044265, 1.2864319502097965, 0.34992959013231884, -0.4779554770050193, -0.6153939633404093, -0.25537796776743416]","(1, 0, 1)"
15,"[-1.314869177500513, -0.8128914800497161, -0.9034256162458353, 0.02329661284420509, 0.19275515633593684, -0.9766123479889883, -0.8038138207200214, -0.27456184565904596, 0.6611367385216939, 1.6933467873451775]","[-0.5886015160302154, -1.0205684194854054, -0.30260727030701345, -0.7521219810923285, 0.3993576033903694, -0.006923645359247846, -0.9731505253093644, -0.3172385580653392, -0.11594256662637636, 0.719108021834882]","[-0.6211990134102218, -1.0759793910628586, -0.3162161366005845, -0.794639156024654, 0.42299711682667296, -0.008652482181453189, -1.024991600394355, -0.3313355791795512, -0.12259512266621152, 0.7588136627619222]","(1, 0, 1)"
17,"[0.7177026498497739, -0.3332051284093975, -1.062168419523947, -1.7271917723626906, -2.2484326699739463, -1.6921430636559718, -1.4602003730141448, -1.4343167547945197, -1.6665329052094175, -0.9171298809888877]","[1.1081008676865838, 0.163652216006482, -0.4150312364126385, -0.8546528013176277, -1.2998653717038766, -1.5984999841220078, -0.8928930715949678, -1.0137538372166608, -0.9274398361861893, -1.202812987116323]","[1.0520841265034522, 0.1317885013867777, -0.43381815673013546, -0.92796399020978, -1.3873028730590633, -1.6393453756207943, -0.9064776017893755, -0.9898648064871707, -0.8675701115293207, -1.1314180224744175]","(4, 0, 0)"
19,"[-0.9154401587451794, -0.06436007585343079, 0.4094842724044888, 0.864996052684246, 1.5430190391230463, 1.6072113163130664, 1.9569449337649647, 2.215450394275211, 1.1791069990858976, -0.35616315803360665]","[-0.6812585576001368, -0.574810879945111, 0.2230453641191247, 0.2979615903449265, 0.7160152575117827, 1.1850114103671547, 1.014705611129489, 1.4495921282002202, 1.4906543301751007, 0.4337798339983472]","[-0.7024117781370384, -0.5536365008576982, 0.23030033678887266, 0.29218527233352526, 0.7214742566930266, 1.1815379341442027, 1.002321902134811, 1.4577933105496013, 1.4829856474590677, 0.4122303263871471]","(1, 0, 1)"
18,"[0.6554220069690487, -0.27970866932576083, -0.36477843347642436, -0.031330279488522184, -0.4869737980110459, -1.1616764337448426, -0.8786642603399086, -0.2585873045465875, -0.1496013583854589, -0.758057730817691]","[1.072740373942728, 0.11905181999768472, -0.3392345793246032, -0.19516114381412275, 0.06625029241853919, -0.5200989442203154, -0.9016269616346848, -0.4278507795225662, -0.0446619147853044, -0.1272704009928067]","[1.1104534598955744, 0.12676081053071014, -0.35092955951927934, -0.20215282881239308, 0.0679426833498366, -0.5357489635441037, -0.9326292379544938, -0.443698098506785, -0.046471995893836715, -0.13128591813608165]","(1, 0, 1)"
20,"[0.6919287386873479, 0.4648315726744983, -0.14960425021182708, 0.18635573270171957, 0.29680787974086487, -0.4484899218346412, -0.2992076453888737, -0.06076795898061571, 0.274627471855408, -0.3427802568587124]","[0.0876909677511867, 0.6480832548117545, 0.14078994526862101, -0.2199992228461376, 0.29635534412478837, 0.14863020767847068, -0.5228050256738765, -0.037805132551935405, -0.04186539270464801, 0.295560168207732]","[0.11861970754554793, 0.6385002132675796, 0.09532752899207828, -0.21901584000837998, 0.3499177919546885, 0.09738583967612996, -0.5358605276486083, 0.03568916613664804, -0.05829793672492621, 0.25096514820738913]","(4, 0, 0)"
