seed,Test,True,ARMA,Order,ARMA_Train_loss,ARMA_Valid_loss,Informer,Informer_para,Informer_lr
14,"[-1.2440986860865688, -0.4865508935504905, 0.2975830767098091, 0.7568197055496705, 0.16370804313753556, 0.3232395075890545, 0.4764214573147744, -0.18314757271140183, -0.9892241619774378, -1.1428070380385411]","[-1.3117611664475848, -0.5882181028627764, -0.1924418421191023, 0.39380399776936026, 0.5599177066649903, -0.11625081019495961, 0.38136491268653433, 0.2857390009715073, -0.32601707319715545, -0.8262156253788601]","[-1.2957864949136968, -0.5822188741041078, -0.19007810383880702, 0.38789539636405684, 0.5530771580395499, -0.11403413683179563, 0.3752401246861733, 0.28260852249053037, -0.3212755999076291, -0.8151522625438183]","(1, 0, 1)",0.30102898639723114,0.6037709342494268,"[-1.1626316, -0.6459059, -0.07854398, 0.47685835, 0.59269685, -0.24321055, 0.3281153, 0.374825, -0.4002703, -0.9950695]","(10, 2)",0.0001
15,"[-1.314869177500513, -0.8128914800497161, -0.9034256162458353, 0.02329661284420509, 0.19275515633593684, -0.9766123479889883, -0.8038138207200214, -0.27456184565904596, 0.6611367385216939, 1.6933467873451775]","[-0.5886015160302154, -1.0205684194854054, -0.30260727030701345, -0.7521219810923285, 0.3993576033903694, -0.006923645359247846, -0.9731505253093644, -0.3172385580653392, -0.11594256662637636, 0.719108021834882]","[-0.6212152702932958, -1.0760167411715411, -0.3162300091747441, -0.7946341847562564, 0.42300732682211595, -0.00865237029133327, -1.02499156027961, -0.3313355728857231, -0.12259512252493071, 0.7588136627470621]","(1, 0, 1)",0.34081315946617086,0.8570725596309297,"[-0.81290054, -1.2856741, -0.5314476, -0.79319245, 0.40262413, 0.34278077, -1.2304672, -0.57204264, 0.0063450113, 0.9397992]","(10, 2)",0.0001
16,"[-0.8925604713988429, -0.6212528188330457, 0.5991684642228181, 1.282312738377204, 1.7892923932724853, 1.0734674101721913, -0.2954125087901368, -0.8968350856880265, -0.604867114153435, 0.1009670901745342]","[-0.5361011232371724, -0.6245099097802567, -0.3089978639429174, 0.7536673961942768, 0.9054790402800655, 1.3365528731324525, 0.405190973605965, -0.4980079955931193, -0.6478310878914668, -0.28095157020770156]","[-0.5230947930142973, -0.5854326141084132, -0.28730834712482145, 0.7398687110206732, 0.8472191839255423, 1.2864319503259911, 0.34992959019300185, -0.4779554770107277, -0.6153939633256277, -0.2553779677436373]","(1, 0, 1)",0.3195446758986106,0.8642960044816833,"[-0.60287505, -0.771275, -0.18922311, 0.941252, 1.0702633, 1.2407118, 0.5430793, -0.49449864, -0.7535246, -0.11489259]","(10, 2)",0.0001
18,"[0.6554220069690487, -0.27970866932576083, -0.36477843347642436, -0.031330279488522184, -0.4869737980110459, -1.1616764337448426, -0.8786642603399086, -0.2585873045465875, -0.1496013583854589, -0.758057730817691]","[1.072740373942728, 0.11905181999768472, -0.3392345793246032, -0.19516114381412275, 0.06625029241853919, -0.5200989442203154, -0.9016269616346848, -0.4278507795225662, -0.0446619147853044, -0.1272704009928067]","[1.154705378918876, 0.12380096040653477, -0.31935480818052175, -0.09483107933436785, 0.07976103799961762, -0.5463324906463753, -0.935664054218661, -0.4357302267359964, -0.09294946187938777, -0.21400905277093973]","(3, 0, 0)",0.34012732225076164,0.8431828386852256,"[1.1014814, 0.124027476, -0.52786833, -0.07515018, 0.26031592, -0.44985372, -0.8902649, -0.71576154, -0.13567014, -0.11295135]","(10, 2)",0.0001
17,"[0.7177026498497739, -0.3332051284093975, -1.062168419523947, -1.7271917723626906, -2.2484326699739463, -1.6921430636559718, -1.4602003730141448, -1.4343167547945197, -1.6665329052094175, -0.9171298809888877]","[1.1081008676865838, 0.163652216006482, -0.4150312364126385, -0.8546528013176277, -1.2998653717038766, -1.5984999841220078, -0.8928930715949678, -1.0137538372166608, -0.9274398361861893, -1.202812987116323]","[1.0520472388638167, 0.13178296542262524, -0.43381822847649676, -0.9279639752073192, -1.3873028814555752, -1.6393453755839524, -0.9064776017271773, -0.98986480651311, -0.8675701114472179, -1.1314180224602235]","(4, 0, 0)",0.33298105646183473,0.7565314515043633,"[1.2710671, 0.19140084, -0.49681175, -0.8708685, -1.0831028, -1.4111435, -1.0929418, -1.1691371, -1.3317873, -1.8757875]","(10, 2)",0.0001
19,"[-0.9154401587451794, -0.06436007585343079, 0.4094842724044888, 0.864996052684246, 1.5430190391230463, 1.6072113163130664, 1.9569449337649647, 2.215450394275211, 1.1791069990858976, -0.35616315803360665]","[-0.6812585576001368, -0.574810879945111, 0.2230453641191247, 0.2979615903449265, 0.7160152575117827, 1.1850114103671547, 1.014705611129489, 1.4495921282002202, 1.4906543301751007, 0.4337798339983472]","[-0.7024148956918296, -0.5536382804541494, 0.23030047110236376, 0.29218528139221256, 0.7214742074649256, 1.181537934062154, 1.0023219450977308, 1.4577932716193627, 1.4829856555846828, 0.4122303267067326]","(1, 0, 1)",0.33825515830992,0.9265060983656133,"[-0.6678708, -0.6644674, 0.40761995, 0.5346599, 0.7757782, 1.1362302, 1.1567581, 1.203504, 1.1744446, 0.34345642]","(10, 2)",0.0001
3,"[0.7980877186989277, 1.2468067813411086, 1.2401457725175637, 1.5366640958549644, 1.5519090964049083, 0.20115061110280497, -0.77519480065918, 0.1100903025267086, 0.47543770245064265, -0.3961646607507813]","[0.7727444411989659, 0.41171549809944474, 1.0409490322913864, 0.7196712563718707, 1.1768284676690293, 0.9634948625703936, -0.28059682018239185, -0.6348963905679841, 0.42753849781070064, 0.26166845354529233]","[0.7642205860601149, 0.44963419362429, 1.041553000388271, 0.7671928124980731, 1.1896078218826833, 1.0156611615194813, -0.25867348084955644, -0.6581747057508495, 0.40981037605123327, 0.28888995038988713]","(1, 0, 1)",0.3391486004952871,0.8076689868539044,"[0.7375662, 0.5721251, 0.9341552, 0.84748095, 1.1102004, 1.150244, -0.12992325, -0.76893365, 0.37807438, 0.4474889]","(10, 2)",0.0001
20,"[0.6919287386873479, 0.4648315726744983, -0.14960425021182708, 0.18635573270171957, 0.29680787974086487, -0.4484899218346412, -0.2992076453888737, -0.06076795898061571, 0.274627471855408, -0.3427802568587124]","[0.0876909677511867, 0.6480832548117545, 0.14078994526862101, -0.2199992228461376, 0.29635534412478837, 0.14863020767847068, -0.5228050256738765, -0.037805132551935405, -0.04186539270464801, 0.295560168207732]","[0.11866962624055935, 0.6384994203040105, 0.0953275251883069, -0.21901583813576683, 0.3499177925577902, 0.09738583919268878, -0.5358605276624706, 0.03568916612876144, -0.058297936727383724, 0.2509651482019144]","(4, 0, 0)",0.33548642899385805,0.6895770968325705,"[-0.022995302, 0.5882337, 0.032573193, -0.3876865, 0.2755607, 0.13405712, -0.63409173, 0.013535985, 0.062413514, 0.3056534]","(10, 2)",0.0001
21,"[-0.8936733867048263, 0.18994197245032862, 1.335188669050055, 0.7564370579540775, -0.7507694914830492, -0.6151433405298958, 0.11318037870934838, -0.746704887720932, -1.7175734274000156, -1.3528722288630806]","[-0.6291354606522113, -0.5791056563787207, 0.47949480063968897, 1.0954412687302106, 0.2087164235889722, -0.8551277032775353, -0.1875794888911282, 0.20697012315491248, -0.8501899492983882, -1.2924784527508213]","[-0.5948490691558791, -0.5937424255234978, 0.541858287451899, 1.0868208528409053, 0.1640293247579615, -0.8828570840374423, -0.1321636203056156, 0.19543116164744848, -0.8971115762271982, -1.2806708302264656]","(1, 0, 1)",0.3367193064150662,0.7731800298341822,"[-0.5696875, -0.27486554, 0.48182365, 0.8684535, 0.27067107, -0.5149147, 0.15611838, 0.2913013, -0.5689954, -1.0154562]","(50, 10)",0.0001
23,"[-0.7972534420681722, 0.2865580919118626, 1.3092846607646509, 0.5319940660574185, -0.01799348567364678, 0.7823631415737075, 0.6977989543286605, 0.14898163745840431, -0.9797952977894697, -1.5618723998755375]","[-0.7442062845127789, -0.4251502998117827, 0.499133241817754, 1.059718039855774, 0.002135046129531526, -0.019061008738412544, 0.7918936459429138, 0.30185213135720357, -0.0019444282201974694, -0.978823083679371]","[-0.7664459172562039, -0.41250104585642744, 0.5015328805741087, 1.066980866535726, -0.012541392386777761, -0.01171494247787969, 0.7978693526688405, 0.29284080205182655, -0.0009773256942877812, -0.991349915367365]","(1, 0, 1)",0.340287817556017,0.8140700003110599,"[-0.4055927, -0.40557832, 0.53938234, 1.1158644, 0.25509277, -0.14543572, 0.713563, 0.5956814, -0.035642814, -0.807539]","(20, 4)",0.0001
