seed,Test,True,ARMA,Order,Informer,Informer_para,Informer_lr
25,"[-0.07785852359068082, -0.7853463558998078, -0.6187404474661922, 0.21573777683269701, 0.904413467141991, -0.46883594544207974, -1.105392499589548, -1.529301686966939, -0.730057748736027, -0.19079496830370674]","[0.16136597740168288, -0.03892926179534041, -0.3926731779499039, -0.3093702237330961, 0.10786888841634851, 0.4522067335709955, -0.23441797272103987, -0.552696249794774, -0.7646508434834695, -0.3650288743680135]","[0.15398780577320717, -0.03713539789332099, -0.3745991032181127, -0.2954829487852713, 0.10286459925110374, 0.43159871882672707, -0.22282372614192314, -0.5264520634041404, -0.7323591345363918, -0.3496123899358319]","(1, 0, 0)","[0.3701883, 0.3690863, 0.3685233, 0.37259477, 0.3710871, 0.37486818, 0.375966, 0.37273306, 0.37455213, 0.37150997]","(10, 2)",0.001
33,"[-0.573952278055975, -0.3456398122516245, -0.30236463843618444, -0.3035478904849366, -0.4830717978794424, -0.5089884153875923, 0.46596959638708735, -0.7304086062879384, -0.7476126716870695, -0.5626839381658609]","[-0.5961226813949038, -0.2869761390279875, -0.17281990612581224, -0.15118231921809222, -0.1517739452424683, -0.2415358989397212, -0.25449420769379616, 0.23298479819354367, -0.3652043031439692, -0.37380633584353473]","[-0.6114019487539166, -0.2943283505913593, -0.17724980626368608, -0.1550702501896643, -0.15573131801116488, -0.2479367519022547, -0.2613761057690655, 0.23891529591971056, -0.3737934379692651, -0.3830353705951418]","(1, 0, 0)","[-0.34861028, -0.33826068, -0.34790853, -0.34399846, -0.3453834, -0.32853898, -0.32836235, -0.3318617, -0.33402157, -0.32557052]","(20, 4)",0.001
19,"[-0.574810879945111, 0.22304536411912468, 0.2979615903449265, 0.7160152575117827, 1.1850114103671547, 1.014705611129489, 1.4495921282002202, 1.4906543301751007, 0.4337798339983472, -0.5730530750327802]","[-0.3406292788000684, -0.2874054399725555, 0.11152268205956234, 0.14898079517246324, 0.35800762875589137, 0.5925057051835774, 0.5073528055647445, 0.7247960641001101, 0.7453271650875504, 0.2168899169991736]","[-0.34104548339966534, -0.28796267469425335, 0.11159165289903619, 0.14908057320166626, 0.35856824164074114, 0.5950023637126467, 0.5106205269197144, 0.7325365050429946, 0.756941271758828, 0.2198057356449127]","(1, 0, 0)","[-0.028224563, -0.010221157, -0.023287663, -0.033026807, -0.018267648, -0.011892604, -0.030335372, -0.056348663, 0.060609918, 0.050681453]","(10, 2)",0.001
32,"[-0.07138554419073595, 0.4945636258241592, 0.3639052646101907, 0.519003105936032, -0.593182138369609, -0.04247628879807108, 0.5536740359257482, 0.7804597076784707, -0.45345522766500557, 0.03157857558980742]","[0.4219870105686546, -0.035692772095367975, 0.2472818129120796, 0.18195263230509534, 0.259501552968016, -0.2965910691848045, -0.02123814439903554, 0.2768370179628741, 0.39022985383923536, -0.22672761383250278]","[0.3657673951821607, 0.04895281076060305, 0.21765845259200456, 0.2136099539533587, 0.27150588735942927, -0.2184291217936964, -0.07741529174792518, 0.2470916128631122, 0.40813511733642543, -0.13065923381646616]","(2, 0, 0)","[-0.016612243, -0.017428784, -0.017732473, -0.017846104, -0.014327867, -0.009091293, -0.013234071, -0.016077038, -0.015407506, -0.014480976]","(10, 2)",0.001
30,"[1.0620812101426191, 0.21526676080054974, -0.7273467906435991, -0.6736723722736494, -0.564007853575696, 0.5898355144876888, -0.2733362213052468, -0.7430262976812755, -0.7098117307057243, -0.364488804315089]","[0.21939566464366833, 0.5310406050713096, 0.10763338040027487, -0.36367339532179954, -0.3368361861368247, -0.282003926787848, 0.2949177572438444, -0.1366681106526234, -0.37151314884063774, -0.35490586535286217]","[0.22786618046527252, 0.5523540420767769, 0.11179293795481025, -0.37745325646687816, -0.34990182574141787, -0.2931120929511232, 0.3059219656567409, -0.1415741439992973, -0.38510878618559236, -0.3682442476093453]","(1, 0, 0)","[0.2461992, 0.24619497, 0.24642085, 0.24667068, 0.2466655, 0.2464303, 0.24643146, 0.24642111, 0.24617855, 0.24621262]","(20, 4)",0.001
11,"[0.8328983568697245, 0.8963775036231243, -0.5360106415144255, 0.1998243357678785, 0.4326378217734342, -0.45340565261499577, -1.2081631843318354, 0.110734133409919, 0.19791268955152153, -0.899995658024788]","[0.07121961661193266, 0.41644917843486223, 0.44818875181156215, -0.26800532075721273, 0.09991216788393925, 0.2163189108867171, -0.22670282630749788, -0.6040815921659177, 0.0553670667049595, 0.09895634477576076]","[0.07127379453485524, 0.41697663972071153, 0.4495906520108736, -0.26773608583525554, 0.09969717184156794, 0.2159206611419222, -0.2259797990798548, -0.6034032275709428, 0.05508379889137135, 0.09845412803965241]","(1, 0, 0)","[0.072917834, 0.07292107, 0.07291825, 0.072905585, 0.07290058, 0.07289897, 0.07290119, 0.07290378, 0.07289858, 0.072903275]","(20, 4)",0.001
31,"[0.12847540328511986, 0.5697816601322436, -0.7031251528413439, -1.321870789086594, -0.5497629878284789, -1.1640873434694252, 0.0023033190057122344, -0.6725629140667332, -0.04137626377955411, -0.060561921476765784]","[0.1749379254694139, 0.06423770164255993, 0.2848908300661218, -0.35156257642067196, -0.660935394543297, -0.27488149391423944, -0.5820436717347126, 0.0011516595028561172, -0.3362814570333666, -0.020688131889777056]","[0.15943885386675055, 0.05854546354944496, 0.2597268777567478, -0.31956407599363823, -0.603048910470579, -0.25071821998569394, -0.5322894152608513, 0.0010497497379504859, -0.3065237612388617, -0.018839452623654777]","(1, 0, 0)","[-0.25009876, -0.2493535, -0.25234622, -0.2499117, -0.2529611, -0.24554083, -0.24832684, -0.2476373, -0.24438313, -0.2450619]","(10, 2)",0.001
28,"[0.7352614767352741, 1.1002057250852975, 0.8223905848241257, 0.6063414103553598, -0.2808954830729112, -1.0768872334729853, -1.0485529741083988, -1.0256732172031269, -0.32314679458079776, 0.8078177255377127]","[-0.25255860514004486, 0.36763073836763704, 0.5501028625426487, 0.4111952924120629, 0.3031707051776799, -0.1404477415364556, -0.5384436167364927, -0.5242764870541994, -0.5128366086015634, -0.16157339729039888]","[-0.26306623983175353, 0.38210478138267157, 0.5730421301010917, 0.42884071426326026, 0.3163752716360857, -0.14634018883104524, -0.5616546477778481, -0.5480810136579151, -0.5372438073134319, -0.16910907227372435]","(1, 0, 0)","[0.14273174, 0.14273174, 0.14273186, 0.14273183, 0.14273165, 0.14273165, 0.14273147, 0.14273147, 0.14273171, 0.14273213]","(20, 4)",0.001
35,"[0.5460702465868447, -0.03307332194342666, 0.5193043945260386, -0.0027686651326603307, 0.4578879677841169, 0.7028509030440304, 0.7822932551642949, 0.8354124572493141, 0.5124034891901732, 1.1419215765920105]","[0.32575097178551504, 0.27303512329342233, -0.01653666097171333, 0.2596521972630193, -0.0013843325663301653, 0.22894398389205844, 0.3514254515220152, 0.39114662758214747, 0.41770622862465706, 0.2562017445950866]","[0.3069968051639306, 0.2575200838221034, -0.01558442953604571, 0.24469645906417495, -0.001303656457881373, 0.21560133611957946, 0.3313165612536678, 0.36935490674070715, 0.39515887271598155, 0.24249163948319113]","(1, 0, 0)","[0.22043392, 0.22095871, 0.22154683, 0.2217212, 0.2222082, 0.22072193, 0.22119269, 0.22215635, 0.22197062, 0.22204849]","(20, 4)",0.001
34,"[0.5660775407010443, -0.5229966607333045, 0.14929605173574667, 0.9850399372278754, 0.6845605190292832, -0.2798300742481977, 0.5322603780033701, 0.49072347617323475, 0.6269755113745932, 0.4847571032588085]","[-0.23281914768731293, 0.28303877035052216, -0.26149833036665227, 0.07464802586787334, 0.4925199686139377, 0.3422802595146416, -0.13991503712409886, 0.26613018900168506, 0.24536173808661738, 0.3134877556872966]","[-0.21676935628694724, 0.26305272800133717, -0.24249924746985668, 0.06915473072505224, 0.45658362528227625, 0.3176576343449796, -0.12958864813321572, 0.2462632252500568, 0.22719118875846897, 0.2905526365587386]","(1, 0, 0)","[0.45698136, 0.46065855, 0.45419163, 0.45432866, 0.45810378, 0.45637012, 0.4561044, 0.46131325, 0.4579258, 0.4607662]","(50, 10)",0.001
