seed,Test,True,ARMA,Order,ARMA_Train_loss,ARMA_Valid_loss,Informer,Informer_para,Informer_lr,RNN
15,"[-0.9309177739689536, -0.1554568912994596, -0.4969798762209773, 0.47500942096712273, 0.1811068499138343, -1.0729899261569567, -0.3155076467255272, 0.12734506470096474, 0.7984176613512168, 1.3627784180843303]","[-0.20465011249865595, -0.3631338307351488, 0.1038384697178446, -0.30040917296941094, 0.38770929696826684, -0.10330122352721627, -0.48484435131487025, 0.08466835229467151, 0.021338356203146613, 0.3885396525740351]","[-0.22261718902327912, -0.37856631122288475, 0.1192290133626509, -0.32895096783740957, 0.42764585429432794, -0.13077404720688265, -0.5021033689099127, 0.0995311930589243, 0.01484067512780363, 0.41787383328447275]","(0, 0, 1)",0.3408931750327489,0.42302575698799255,"[-0.16622299, -0.4441196, 0.019143991, -0.2671822, 0.52860737, 0.006429404, -0.5209257, 0.0038354918, 0.245482, 0.502508]","(10, 2)",0.0001,"[-0.2677919268608093, -0.5250494480133057, 0.043936267495155334, -0.2407865673303604, 0.4036681056022644, -0.11178939044475555, -0.5271838903427124, -0.04984311759471893, 0.11284571886062622, 0.417342871427536]"
18,"[0.028319632388833504, -0.6074196728102852, -0.22492409881354392, 0.15105893724969, -0.4713086582667848, -0.9181895347393195, -0.2978260434674873, 0.1807448256233668, -0.020307706112165147, -0.6832570516249615]","[0.4456379993625128, -0.20865918348683965, -0.19938024466172277, -0.012771927075910572, 0.08191543216280028, -0.27661204521479255, -0.3207887447622635, 0.011481350647388089, 0.08463173748798936, -0.05246972180007725]","[0.45304887766722013, -0.22036308596718496, -0.20091097700647834, -0.012474963571432875, 0.08495728760042748, -0.2888644734789787, -0.32708981616763344, 0.015222065750822732, 0.08610836686200463, -0.05536301411164444]","(0, 0, 1)",0.3436590233887355,0.4203105806927419,"[0.5320652, 0.08034203, -0.38124388, -0.05193434, 0.13895303, -0.3152965, -0.50346786, -0.22548127, 0.11542811, -0.014099851]","(50, 10)",0.0001,"[0.470170795917511, -0.2536102831363678, -0.16113495826721191, -0.017954841256141663, 0.11648394167423248, -0.31700026988983154, -0.2537258565425873, -0.0017118602991104126, 0.14294929802417755, -0.07599267363548279]"
16,"[-0.6960832931335283, -0.1749725831336243, 0.909794873639341, 0.9827285062657949, 1.1481360240838834, 0.1788212135359486, -0.8321462138762324, -0.749128831292958, -0.15644957130942172, 0.4034006472512517]","[-0.3396239449718579, -0.17822967408083523, 0.0016285454736054694, 0.45408316408286775, 0.26432267109146357, 0.44190667649620985, -0.13154273148013063, -0.3503017411980509, -0.19941354504745357, 0.021481986869015923]","[-0.34118557817940476, -0.17843708797766042, 0.001743370805220472, 0.45695189948591675, 0.2646779404981462, 0.44569539670186736, -0.13434138364920287, -0.3521575047680563, -0.20065291817686773, 0.022347711068987787]","(0, 0, 1)",0.32192897199684883,0.45367472882585314,"[-0.29975104, -0.15708336, 0.13148756, 0.3837709, 0.3932579, 0.5567012, 0.018956408, -0.33350414, -0.19528851, 0.035416856]","(50, 10)",0.0001,"[-0.32839375734329224, -0.12504255771636963, -0.00814056396484375, 0.5087258815765381, 0.16464823484420776, 0.4480191767215729, -0.12022092938423157, -0.3501353859901428, -0.14317244291305542, 0.0003825724124908447]"
19,"[-0.69067777121332, 0.3933600035191589, 0.44166431033120424, 0.6602539164820016, 1.1105210127809233, 0.8357017967515433, 1.1533392756084315, 1.2369779273927284, 0.07138180194829213, -0.9457166575765554]","[-0.45649617006827736, -0.1170908005725213, 0.2552254020458401, 0.09321945414268207, 0.28351723116965977, 0.4135018908056317, 0.2110999529729558, 0.47111966131773786, 0.3829291330374953, -0.1557736655446016]","[-0.47889334055302435, -0.11032243977765338, 0.26318516554897686, 0.0932838414692241, 0.29636022169529075, 0.42618801030496084, 0.21461495056012928, 0.4925395191105374, 0.3910555174700834, -0.16812202042522476]","(0, 0, 1)",0.33997318524982356,0.4474810940515721,"[-0.3323868, -0.16480465, 0.4189883, 0.22606856, 0.2973836, 0.37642157, 0.26637346, 0.3534795, 0.29618198, -0.05392483]","(20, 4)",0.0001,"[-0.3175569176673889, -0.26326611638069153, 0.42920538783073425, 0.1898864209651947, 0.16152876615524292, 0.41704896092414856, 0.3293134272098541, 0.4524087607860565, 0.5106450319290161, -0.07149310410022736]"
20,"[0.5516131980986699, 0.11886720333082434, -0.38202003654907624, 0.2611578578076331, 0.20363001339000508, -0.5968938617050736, -0.07496268447155308, 0.08883586371382113, 0.30501145134571583, -0.4800939927864164]","[-0.052624572837491335, 0.30211888546808063, -0.09162584106862814, -0.14519709774022405, 0.20317747777392858, 0.00022626780803824964, -0.29856006475655594, 0.11179869014250143, -0.011481413214340153, 0.158246432280028]","[-0.05786617314261822, 0.31563660801613114, -0.10171197459506404, -0.14508573131619523, 0.21044954260053442, -0.0035330022669992508, -0.3075291286990458, 0.12042030612168678, -0.01635796364018227, 0.16637916235495487]","(0, 0, 1)",0.34089516150384663,0.4011516480363544,"[-0.074582286, 0.337799, -0.18540916, -0.2699213, 0.36513016, 0.007189, -0.42622468, 0.19605535, 0.04410387, 0.16023049]","(10, 2)",0.0001,"[-0.1251470148563385, 0.3091104030609131, 0.03676125407218933, -0.2818676233291626, 0.4290640950202942, 0.09670647978782654, -0.3172495365142822, 0.2014729380607605, 0.11115965247154236, 0.1902557611465454]"
21,"[-0.25192236334277585, 0.6367786658027418, 1.2402176828248908, 0.08884272342904997, -1.128988020460088, -0.23975859478837125, 0.4207520489742963, -0.8032950770756062, -1.3442209835395493, -0.49408551516307286]","[0.012615562709839212, -0.13226896302630753, 0.38452381441452466, 0.42784693420518305, -0.16950210538806654, -0.4797429575360107, 0.11999218137381973, 0.15037993380023829, -0.47683750543792225, -0.4336917390508136]","[0.026605839398719043, -0.15672833983384796, 0.4456438120156105, 0.44683784784124214, -0.20171844234043496, -0.5231863577205708, 0.1597267210421003, 0.14720198961144498, -0.5367384099796889, -0.45647665952149713]","(0, 0, 1)",0.33672575228612184,0.41282598511583785,"[0.08880774, -0.09428796, 0.3262663, 0.41561288, -0.13664304, -0.4623801, 0.06393848, 0.24248089, -0.49125654, -0.4000911]","(20, 4)",0.0001,"[-0.05591902136802673, -0.10083889961242676, 0.29107388854026794, 0.2656487226486206, -0.13534656167030334, -0.6422308683395386, 0.18270933628082275, 0.268894761800766, -0.6152081489562988, -0.3607008755207062]"
26,"[-0.15962564344814334, -0.616123008015228, 0.30555090879229097, -0.021809346320912137, 0.39696393369690885, 0.7986295146685827, 1.0406880057684367, -0.09470674431465165, -1.1826778558458295, -0.5312476475844605]","[-0.41211677267334634, 0.1262455646126015, -0.37118428631391476, 0.33836759755310286, -0.1800884719370075, 0.2885262028169582, 0.25505165592581225, 0.3928181749213122, -0.24376245961798193, -0.4694576981139238]","[-0.4156989542120998, 0.1282746660865049, -0.3724022211156808, 0.3375323125854824, -0.1784649960106993, 0.2854655722493973, 0.25508873736649157, 0.39146632973189843, -0.2415069680063085, -0.4690746710513924]","(0, 0, 1)",0.3464829685947998,0.4346178721826104,"[-0.38799065, -0.13871251, -0.41419625, 0.07402243, -0.07756953, 0.14765425, 0.3142743, 0.3084886, -0.22769322, -0.7223791]","(50, 10)",0.0001,"[-0.3648953437805176, 0.12537477910518646, -0.2294580191373825, 0.3134635090827942, 0.03382478654384613, 0.26340723037719727, 0.3847739100456238, 0.3495059013366699, -0.31419748067855835, -0.6613246202468872]"
24,"[0.54090476469608, 1.074304785450646, 1.0055488223921407, 0.9991005024919698, 0.9825893598300449, 0.9383886139643064, -0.49031903883419126, 0.36661428105341054, 1.0610824898768767, 0.3116256433564999]","[-0.408344794260039, 0.4746247794780595, 0.2998400029862933, 0.3528544097029237, 0.32312304639452305, 0.32973315671776093, 0.30432772862327273, -0.397323383728732, 0.38196883239107127, 0.3395568287429027]","[-0.4256182156659432, 0.5368368720526173, 0.29845973997923486, 0.3937955291002929, 0.33729010903443607, 0.36016132661148337, 0.3229561175626313, -0.4540420055433569, 0.45567427361645957, 0.3366073399874241]","(0, 0, 1)",0.34498360093232405,0.4567835344483933,"[-0.30455187, 0.6121851, 0.42863363, 0.44401598, 0.08154306, 0.04594806, 0.04679367, -0.24524605, 0.34721234, 0.13010994]","(20, 4)",0.0001,"[-0.21110402047634125, 0.661507785320282, 0.3298912048339844, 0.48756152391433716, 0.42676204442977905, 0.35769063234329224, 0.2512534260749817, -0.08422361314296722, 0.14555957913398743, 0.30865514278411865]"
22,"[0.03707273119240062, 0.7312986975417456, 0.8061856680631985, 1.1557851318984358, 0.34818877163287065, -0.8000950204616545, -0.5808572678148668, -0.7944166158396222, 0.030168025846227797, -0.32926243631306273]","[0.2010120544300371, -0.08196966161881825, 0.4066341795802819, 0.19977574424145828, 0.47800469382848876, -0.06490796109780905, -0.3675935296819227, -0.10663186906647204, -0.3438923733865751, 0.18703019961640144]","[0.2118448699938542, -0.0937087857472033, 0.44175821480047966, 0.19504964495993196, 0.5149276823597245, -0.08910469300814633, -0.38118210225600724, -0.10717321420815737, -0.36890584005120175, 0.21387940619495668]","(0, 0, 1)",0.3663714865575032,0.38370275785048263,"[0.450438, -0.07304497, 0.5278007, 0.22813705, 0.36868435, -0.05375994, -0.30585617, -0.14114621, -0.37653464, 0.36048305]","(10, 2)",0.0001,"[0.2748510241508484, -0.06805494427680969, 0.4389094114303589, 0.20520323514938354, 0.3787602186203003, -0.08261378109455109, -0.20465528964996338, -0.05855792760848999, -0.27368447184562683, 0.21567559242248535]"
29,"[-0.5090918790813495, -0.08036184793306533, -0.704858936349287, -1.0425350963971853, -0.21565841796513563, -0.783252253601589, 0.055710731323941776, -0.3053992072147209, -0.5580011225407362, 0.22779518779508712]","[-0.4537526725488208, -0.02766960326626433, -0.0263461223334005, -0.33925640700794324, -0.351639344694621, 0.06799046336474268, -0.42562135848316585, 0.2406660449035538, -0.27303262605913736, -0.14248424824079942]","[-0.4495758976224102, -0.029485682444447728, -0.02522144940921535, -0.33713804043129025, -0.3503461169691011, 0.0669278962306342, -0.4217397153227491, 0.23585174575258439, -0.26678473197242714, -0.14370604426413205]","(0, 0, 1)",0.31722463813968277,0.38615767911088716,"[-0.40767473, -0.18886736, 0.112385385, -0.53074074, -0.408531, 0.09795543, -0.5050065, 0.25947586, -0.30237186, -0.35930702]","(10, 2)",0.0001,"[-0.4156838059425354, -0.06573516130447388, -0.02756446599960327, -0.3232768177986145, -0.348110556602478, 0.05250462889671326, -0.38622987270355225, 0.25746217370033264, -0.2301439642906189, -0.16856592893600464]"
