seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
23,"[-0.9623806480473136, -1.6709087756701242, -0.27783964327840793, -0.9500816447829181, -1.8826477468168035, -1.8395970086951476, -1.2454507077305115, 0.5701247373579653, 3.578944774899174, 2.747911711687151]","[0.22445779088600898, -0.7196011912853146, -0.8955135842721336, 0.623586842566207, -0.9838691679522027, -0.9860855733164424, -0.6569630702756915, -0.2732891380289769, 0.9986625806476012, 2.608809982477677]","[0.1558985, -1.3300687, -2.019144, 0.08831595, -1.3584837, -1.601344, -1.1675608, -0.82697016, 0.986209, 1.731853]","(50, 20)",0.0001,"[0.2769012451171875, -0.8999680876731873, -1.0263900756835938, 0.7764226198196411, -1.2307617664337158, -1.0370073318481445, -0.7924771904945374, -0.3774077296257019, 0.9910847544670105, 2.339340925216675]"
21,"[-0.12209518045912171, -0.49232190219066185, 0.273603898841564, 0.07303147537178839, -0.8278595447446644, 0.4218687285241316, 0.2656092206333669, -1.8561907060811473, -2.323855822887737, -0.9278921284749352]","[0.3090763147491202, -0.2195393520039349, -0.38129807572068775, 0.539285732735527, -0.25194297584956593, -0.6769613656379327, 0.8711247283849197, -0.2565838212678197, -1.680694389858527, -1.0632215428628462]","[0.46364596, 0.5834927, -0.3732792, 0.699259, 0.2580023, -0.41528955, 1.0046, 0.23821263, -1.1972605, -0.11738165]","(50, 20)",0.0001,"[0.5196938514709473, -0.11871930956840515, -0.5926221609115601, 0.6175580024719238, -0.24166056513786316, -0.9237703084945679, 0.8144241571426392, -0.13241079449653625, -2.1505086421966553, -0.8818036317825317]"
7,"[-1.7962881168495544, -1.2732067659801491, 0.8889886203523798, 2.951012883596368, 1.2646958340563796, -0.3323120601885993, 0.0903106840418626, -0.13735260074694355, -0.9151583016949827, -1.3520889193794698]","[-1.6979879476832072, -0.745448213548314, -0.3255003972473889, 1.3184101975608118, 1.8739404929492873, -0.5083924458995719, -0.4523972739014501, 0.3736915046230299, -0.31349366045575905, -0.6613341614854449]","[-1.0537087, -1.5100598, 0.6123269, 1.3288385, 1.8661743, 0.9082497, -0.25985456, 1.1620461, -0.08167918, -0.08476123]","(50, 20)",0.0001,"[-1.4002175331115723, -1.0009405612945557, -0.026155531406402588, 1.0901153087615967, 1.6587274074554443, -0.510890007019043, 0.01503002643585205, 0.0984652042388916, -0.7357326745986938, -0.5400081276893616]"
16,"[0.5152276739766124, 0.144524383745533, -1.0183953636576761, -1.9749354802841095, -1.5787766719451315, 0.25751307478105334, -0.44708157882728417, -0.674185560798419, -1.6529463550583572, -2.02131055789495]","[-0.8583976403339317, 1.3774064495241565, -0.5847352604522926, -0.8830946506855164, -1.1174226432188172, -0.4474524297685868, 0.7383639017290176, -0.9334105354121602, -0.27107179646351903, -1.1784688823175045]","[-0.22142008, 0.72132605, -0.74868083, -0.82605314, -1.0915213, 0.23429067, 0.4789819, -1.175722, -0.7481932, -0.5594137]","(50, 20)",0.0001,"[-0.954918384552002, 1.38374924659729, -0.618867814540863, -0.7868845462799072, -1.060340166091919, -0.4301115870475769, 0.6826443076133728, -0.745425283908844, -0.28864753246307373, -1.150848150253296]"
63,"[1.5183510787843302, 2.3937143568473545, 2.5425282829933686, 0.6313434942478507, 1.2377169419351737, 0.15686896505073666, 0.02589841203218335, -0.08404419849605466, -0.5951041478727183, -0.5938219288017121]","[0.3674664350881277, 1.2091005911550354, 1.3073123433941114, 1.2267656016689017, -0.4572692954768485, 1.1474626468344176, -0.5715000252853468, 0.21877239389736933, -0.16568949982967976, -0.43906850559469146]","[1.0293009, 1.5308278, 1.2731233, 0.8975181, -0.30799192, 1.2554961, -0.02824485, 0.4051691, 0.3391405, -0.17965303]","(50, 20)",0.0001,"[0.19398662447929382, 1.4549014568328857, 1.2392804622650146, 0.9848369359970093, -0.2593318521976471, 1.254963994026184, -0.3277859091758728, 0.056641966104507446, 0.10691562294960022, -0.33820170164108276]"
55,"[0.9385057848644893, 0.4611060020433973, -0.7800011553020153, -1.16336574100135, 0.24006685469578415, 0.9343065873976425, 1.7347838283635246, 1.392368765525556, 0.9443571039674578, 1.4741979605798183]","[0.01919977144050522, 0.9445939943766618, -0.19160403014056093, -0.7725985027704652, -0.5591570283854266, 0.7551200249281451, 0.5078446919972052, 1.136495259810522, 0.3652250066196633, 0.3369149255735505]","[0.39671582, 0.69757354, -0.59305334, -0.72402555, -0.5777141, 0.76881707, 1.1422834, 0.49066138, -0.04117085, -0.12796052]","(50, 20)",0.0001,"[-0.061938151717185974, 1.192439317703247, -0.09153318405151367, -0.9038231372833252, -0.608696699142456, 0.6865404844284058, 0.36115407943725586, 1.0074856281280518, 0.49215400218963623, 0.28772634267807007]"
29,"[-0.3838494298390033, -0.8209339735103687, -0.29288624789992923, -0.0011933479864128516, -0.21558756453364483, -0.17361018908784606, 1.3877131053933396, 2.1533300994088713, 0.6818409273858781, 0.9164525058305746]","[-0.6444171644428858, 0.13447758071923782, -0.780661098213375, 0.28706017567068354, -0.0907570427572727, -0.1596847561649396, -0.04078152977932764, 1.3872118206961348, 1.0713009097000374, -0.3327560713990486]","[-0.7514291, -0.29002705, -0.701288, -0.13708723, 0.33258095, -0.25767964, 0.063168176, 1.3194165, 1.1238663, 0.42327225]","(50, 20)",0.0001,"[-0.5015800595283508, 0.06510092318058014, -0.7557601928710938, 0.3205198645591736, -0.11636967957019806, 0.03850163519382477, -0.010753318667411804, 1.5249531269073486, 1.1201261281967163, -0.2667257785797119]"
86,"[-0.6597796119947241, -1.3459889959585982, -0.7114255402078072, -1.0230528737738915, -1.4463509436814377, 0.37292661399897864, 1.444459644565084, 1.1575064800879824, 0.9256016173664637, -0.39227314322700135]","[1.0035803761355615, -1.4325782775888014, -0.1972508535243884, -0.18690639143952117, -0.7320855078211586, -0.5730856428688758, 0.8436166750556108, 0.6563974101029619, 0.3218549328239536, 0.4478954155965015]","[1.0736479, -0.8744603, -0.3798335, -0.09407795, -0.042943254, -0.67451817, 0.6217788, 0.40112, 0.30360556, 0.76840687]","(50, 20)",0.0001,"[0.7212130427360535, -0.989435613155365, -0.4078114628791809, -0.11712799966335297, -0.5134297013282776, -0.6827266812324524, 1.0021103620529175, 0.5109612345695496, 0.04869430884718895, 0.22121864557266235]"
6,"[0.8053994409555097, 0.8856414169249209, 0.4943224239362206, 1.7995936753740582, 1.7673214780165216, 0.6334584440749447, 1.8001778240967057, 0.22129878296870098, -1.9224282693789516, -2.283598234786646]","[1.1541817622107653, 0.28073871009764134, 0.46523209629729423, 0.00660115850473994, 1.5086673621888056, 0.4808786174208332, -0.1226396265682021, 1.5264069482365221, -0.9426061774389248, -1.4269596304347576]","[0.6027964, 0.79062915, 0.06055985, -0.25184613, 0.98633033, 0.31783432, -0.4719917, 1.4197841, -0.7284747, -0.96331745]","(50, 20)",0.0001,"[0.4228363037109375, 0.642577052116394, 0.5125784873962402, 0.026215791702270508, 1.5222138166427612, 0.3427036702632904, -0.11700615286827087, 1.540902853012085, -1.0821607112884521, -1.5343931913375854]"
9,"[2.3564076519401875, 0.08026659789866364, -1.0184116336690976, 0.7731049242622018, 0.6259768819617235, -0.6362086120037269, -0.8481798523509172, -0.3844170283470339, -1.0025075425906094, -0.23450906292930995]","[1.0584677749552682, 1.4923364637618968, -1.122379125503358, -0.5800851155402456, 1.193742103385336, -0.05870948624293382, -0.7418996493059715, -0.33151319434935506, 0.014819599365779701, -0.7975415092483881]","[1.0116669, 1.4368045, -0.21092546, 0.010268231, 1.7135346, 0.23479189, -1.2605642, 0.055858243, 0.5150072, -1.031742]","(50, 20)",0.0001,"[0.9341247081756592, 1.5324182510375977, -1.2329610586166382, -0.033427223563194275, 0.6734622716903687, 0.14574088156223297, -0.8485029935836792, -0.10646341741085052, -0.031635984778404236, -0.5445737838745117]"
