seed,True,ARMA,Informer,Informer_para,RNN
7,"[-1.7962881168495544, -1.2732067659801491, 0.8889886203523798, 2.951012883596368, 1.2646958340563796, -0.3323120601885993, 0.0903106840418626, -0.13735260074694355, -0.9151583016949827, -1.3520889193794698]","[-1.6979879476832072, -0.745448213548314, -0.3255003972473889, 1.3184101975608118, 1.8739404929492873, -0.5083924458995719, -0.4523972739014501, 0.3736915046230299, -0.31349366045575905, -0.6613341614854449]","[-0.95943236, -1.4478669, -0.56773436, 0.9416791, 0.9972162, 0.11280832, -0.33809686, 0.115994744, -0.6814889, -1.3029641]","(50, 10)","[-1.7631919384002686, -0.9969735741615295, -0.06623256206512451, 1.199627161026001, 1.7215993404388428, -0.4570525884628296, -0.41054731607437134, 0.1985740065574646, -0.45608317852020264, -0.7480955719947815]"
22,"[0.9349710626244665, -1.0079803653464618, -2.2617010906704964, -2.5296775664849687, -2.1989700420724487, 1.0566217251543857, 2.9441932554597017, 1.7987345947809725, 0.7229064106424254, -0.22990473319400817]","[1.2545323584479693, 0.014749312019428584, -1.1410156448155417, -1.2848419367211983, -1.116619712721161, -0.8159186639846063, 1.820548948682597, 1.639719028598619, 0.16227139220006104, 0.0571184187179008]","[1.6004665, 0.40165308, -0.52868694, -1.1822004, -1.3463423, -0.71829814, 1.6383001, 1.5286856, -0.14303273, 0.11175566]","(50, 10)","[1.510287880897522, 0.1848134994506836, -1.0832194089889526, -1.0376861095428467, -1.0694422721862793, -0.8559772372245789, 1.4699472188949585, 1.6979683637619019, 0.24542269110679626, 0.31936395168304443]"
11,"[1.220552242568979, 0.6384145957159848, -0.7898802092302276, -2.361363135025176, 0.13285202098126514, -0.1970077243723518, -0.0760779511015095, 0.10149436886419005, -0.7202119635367813, 0.23930190935999962]","[0.6584036723005278, 0.7042699585964356, -0.01359942979104134, -0.8429349597469535, -1.5579635429651244, 1.3253469064603598, -0.7607175112679561, 0.2957255648385991, -0.01640157604546212, -0.6518739327966119]","[1.055113, 1.9733828, 0.11752199, -1.019003, -2.157873, 0.28306425, -0.9381737, 0.1597612, 0.5379748, -1.0928826]","(50, 10)","[0.4052892327308655, 0.8619909882545471, -0.07119826972484589, -0.7852445244789124, -1.6906782388687134, 1.067327857017517, -0.9184408783912659, -0.1401921957731247, -0.11368583142757416, -0.6410262584686279]"
15,"[1.9877180158333834, 0.6412507552841065, -1.3332199243664182, -0.5877213416820823, -0.04635724783356576, -0.15313840750309313, -1.3506328108232484, -2.250841349679237, -0.0869710897871927, 1.8672560230339834]","[0.452616209214033, 1.5766792051359406, -0.6501895378176186, -1.1402602649260716, 0.32905387248597995, 0.013888658901490259, -0.1276943853127383, -1.1097382782745002, -1.1645264933805102, 1.0720202706298756]","[0.61831075, 1.018092, -1.0178589, -1.3565977, 0.11863992, 0.33249757, -0.6279911, -0.79622614, -1.1215818, 0.55771]","(50, 10)","[0.70781010389328, 1.3428764343261719, -0.2574729323387146, -1.2176496982574463, -0.07859863340854645, 0.2006172388792038, -0.11021597683429718, -1.2375035285949707, -1.2432150840759277, 1.0927728414535522]"
21,"[-0.12209518045912171, -0.49232190219066185, 0.273603898841564, 0.07303147537178839, -0.8278595447446644, 0.4218687285241316, 0.2656092206333669, -1.8561907060811473, -2.323855822887737, -0.9278921284749352]","[0.3090763147491202, -0.2195393520039349, -0.38129807572068775, 0.539285732735527, -0.25194297584956593, -0.6769613656379327, 0.8711247283849197, -0.2565838212678197, -1.680694389858527, -1.0632215428628462]","[0.62539446, -0.064605646, -0.2259145, 0.3981786, -0.45158765, -0.5354109, 0.61840796, -0.38543257, -1.3859864, -1.2158554]","(50, 10)","[0.5616440773010254, -0.14002323150634766, -0.6410800218582153, 0.48128533363342285, -0.22613036632537842, -0.9768775701522827, 0.9033970832824707, -0.16604328155517578, -1.9939972162246704, -0.9227585792541504]"
26,"[-2.137207159941018, -1.548716462312171, -0.4097235362139258, 0.09950230877584003, 0.3047697198963778, 0.3717224578572047, -1.0782700431902128, -0.9204881218738453, -2.2284802823007532, 1.6278903209138331]","[-0.48619488694345114, -1.6747748323959941, -0.338907236118058, -0.03060431472841682, 0.10041403696044433, 0.22427383995143632, 0.19228911946860272, -1.1309945845017988, -0.15645906534328202, -1.8486374035991957]","[-0.5168388, -0.8269569, -0.44874942, 0.00019537285, 0.4005096, 0.16541359, 0.11865731, -0.79787004, -0.17487094, -1.2011979]","(50, 10)","[-0.3732406497001648, -1.759460687637329, -0.558321475982666, -0.09770238399505615, 0.29731476306915283, -0.129613995552063, -0.01931685209274292, -1.2396063804626465, -0.3711280822753906, -1.496896505355835]"
42,"[-0.06858052528652114, -1.9751580636656185, -2.034305230401492, -1.3042183002903787, -1.4179465516388512, -1.0646669975907521, 1.5073995488094774, 2.3797839958092455, 0.4982002654262605, -0.0017346807961412525]","[-0.2685296915967154, 0.06565910261822842, -1.7805181278289597, -0.620154301716403, -0.43043333500711806, -0.7865157732484593, -0.2974669693579119, 1.726179748188485, 1.0658881156080082, -0.5575718719782329]","[-0.2613596, 0.30309862, -2.0989404, -1.1514708, -0.56178033, -1.0759735, -0.6089239, 2.7202823, 2.441329, -0.45325994]","(50, 10)","[-0.33973637223243713, 0.008712589740753174, -1.6472328901290894, -0.7587878704071045, -0.4965677559375763, -0.8434700965881348, -0.3184504806995392, 1.5618489980697632, 1.2325414419174194, -0.611634373664856]"
28,"[0.523710630683018, 0.04752838082399702, -0.12177348507794875, 0.026768672560152126, 0.3361239468267235, 0.22293268048079945, -2.111120066759831, -0.4133371844290823, 0.5128633588881688, 1.8524875363268667]","[0.6964075809833349, -0.010083503945174377, -0.11412976140365327, -0.08651596914252752, 0.09020151778366658, 0.2651784074899317, 0.010131085107810134, -1.9771454024180148, 0.9265166918163132, 0.28213090777945427]","[-0.20820494, -0.27423552, -0.48587495, -0.6248697, -0.42899835, -0.4785946, -0.438637, -1.8289629, 0.67489105, 0.29560742]","(50, 10)","[0.8057031631469727, 0.02665024995803833, -0.029130876064300537, -0.03624314069747925, 0.22412215173244476, 0.40966713428497314, 0.17744755744934082, -1.6785216331481934, 0.980160653591156, 0.07916802167892456]"
33,"[0.051313360279217346, -1.1941266547350573, -0.49330191249584987, -0.2879651952912808, -0.38518271615872435, 0.910538106739884, 1.4459594473898747, 0.3573531292499716, -1.7438237471703844, -2.374942746444699]","[0.4097985266716356, -0.17173175150652284, -1.0501283735718405, 0.22027721194958494, -0.31000872932497614, -0.21573705141261423, 1.0197690331607996, 0.7174272412051679, -0.2110377928614669, -1.5237013860268767]","[-0.07653893, -0.8792099, -0.93778116, 0.80346614, -0.22237608, -0.75334024, 0.1933571, 0.3490344, -0.8182224, -1.5590564]","(50, 10)","[0.24723155796527863, -0.17947888374328613, -1.061577558517456, 0.1129053384065628, 0.10487277805805206, -0.289092481136322, 1.1918474435806274, 0.7545135021209717, -0.23462437093257904, -1.5144355297088623]"
55,"[0.9385057848644893, 0.4611060020433973, -0.7800011553020153, -1.16336574100135, 0.24006685469578415, 0.9343065873976425, 1.7347838283635246, 1.392368765525556, 0.9443571039674578, 1.4741979605798183]","[0.01919977144050522, 0.9445939943766618, -0.19160403014056093, -0.7725985027704652, -0.5591570283854266, 0.7551200249281451, 0.5078446919972052, 1.136495259810522, 0.3652250066196633, 0.3369149255735505]","[0.96621335, 0.76650476, -0.16317704, -0.5453113, 0.02302623, 1.362348, 0.366163, 1.0910975, 0.67644924, 0.32928303]","(50, 10)","[-0.10784619301557541, 1.1945594549179077, -0.20569077134132385, -1.1066068410873413, -0.6636481285095215, 0.7706580758094788, 0.6210453510284424, 1.0407171249389648, 0.35191112756729126, 0.4860755503177643]"
48,"[1.1399513399307817, 2.430756152965367, 1.934636891961126, -0.8375189558567607, -3.010068500613653, -1.667091680285292, -0.0882044017550313, 1.0351423008721765, -0.28129497585500673, 0.049888017237669335]","[0.2527927972321449, 1.2551266866436017, 1.4636846957610739, 0.6113991855564898, -1.4947160330091367, -1.9827292073380278, -0.002639350727379197, 0.3314610517609937, 0.8491999905415278, -0.859533215171663]","[0.024303019, 0.8892803, 1.391677, 0.63471115, -1.3522323, -0.7722693, 0.46768728, 1.3119235, 0.88904214, -1.170789]","(50, 10)","[0.3055954873561859, 1.2615697383880615, 1.405659794807434, 0.8827086687088013, -1.6847563982009888, -2.0808801651000977, 0.0367816686630249, 0.578795313835144, 0.7372283935546875, -0.9183048009872437]"
