seed,Test,True,ARMA,Informer,Informer_para,Informer_lr
33,"[-1.1700749594508788, -0.632615951279612, -0.4751845445619967, -0.4547302097030288, -0.6348457431219107, -0.7505243143273135, 0.2114753886932912, -0.4974238080943947, -1.1128169748310386, -0.9364902740093957]","[-1.1922453627898077, -0.573952278055975, -0.3456398122516245, -0.30236463843618444, -0.3035478904849366, -0.4830717978794424, -0.5089884153875923, 0.46596959638708735, -0.7304086062879384, -0.7476126716870695]","[-1.2093415196885855, -0.5847282015333071, -0.35027368571272954, -0.30704276429804617, -0.30778711565018646, -0.4895410717967654, -0.5168497069722703, 0.4688200203619781, -0.7320836257899999, -0.7614332126482031]","[-0.014019415, -0.05343841, -0.7388576, 0.33879676, 0.71139085, -0.61400735, 0.22699438, -0.47183552, -0.12860979, 1.0922762]","(20, 4)",1e-07
13,"[0.4776846498526209, 0.5821712388038603, 0.2802554900752415, 0.22297160123899062, -0.1975596134215989, -1.0425238717296366, 0.09155253831370191, 1.3776430823527734, 0.6777434048553513, -0.3775402270772465]","[0.6008590120983393, 0.17725514380345123, 0.49354366690213475, 0.0334836566241741, 0.2062297729269036, -0.3006744998850507, -0.8921866217871113, 0.5376458492072576, 1.1088201577491446, 0.12333332598077901]","[0.6039624511744863, 0.17810278345696723, 0.4953277919511483, 0.03427845954354505, 0.20648652524275937, -0.3007936570681366, -0.8959076179581236, 0.5381940912637042, 1.1113677400515027, 0.12173883788437087]","[0.5268005, 0.77691746, 0.063519046, -0.449748, -0.879819, -0.99476177, 0.39570734, -0.1417612, 0.31599787, 0.6149692]","(20, 4)",1e-07
42,"[1.349609050956198, 0.28643198137919956, -0.580334596230885, -0.8864732069124243, -1.3947872325795727, -1.5342702678159439, -1.5749370649129626, -1.1672918085267447, 0.18855794128975967, -0.288322847974939]","[1.0400575483876775, 0.8295802767623592, -0.12835815700198006, -0.516155517729895, -0.6283954480474767, -1.0805895085558344, -0.9939755135380268, -1.0779493081439493, -0.6283171544547702, 0.5027165185171447]","[0.9818714211417197, 0.7895718221519805, -0.09880962351520037, -0.48730270795451147, -0.5903909613497915, -1.0116262442635362, -0.9483687654828175, -1.0171565929362412, -0.6110081704020125, 0.4539525209363309]","[0.58670413, 0.515861, -0.35376212, -0.82827187, 0.27075663, -0.6577605, 0.4579551, -0.3401771, 0.25101638, 0.09481748]","(10, 2)",1e-07
6,"[-0.4453356817584949, -0.8090818530260567, -0.3396503960315645, -0.45486538584113234, -1.3696958412225113, -1.3293383836789032, -0.8804124823287928, -1.1841419263023116, -1.157885584127501, 0.20079134087507833]","[0.0020627459518735014, -0.44636705473443167, -0.5858983256588408, -0.04670123320214406, -0.4315147692400603, -1.1539384566024813, -0.7523691553776627, -0.5042279046399614, -0.932027973982331, -0.6918715971363356]","[-0.003520148298033793, -0.4441922500288066, -0.5986107369505267, -0.05472118860057194, -0.4293927656556543, -1.1680595177758373, -0.7751929226160522, -0.5129050803797139, -0.9437816048462473, -0.7121834403470251]","[0.13268654, 0.41671857, 0.27535275, 0.09503693, -0.8201323, -1.0037749, -1.1502547, -0.47723803, 0.7688125, 0.6563619]","(20, 4)",1e-07
59,"[0.39252656193441793, 0.10522439082413843, 0.5670246387022652, 0.12040436613973832, 0.19563415423037656, 0.7403999543365595, 0.7732802993362309, 1.1573201297249, 1.1896231605276943, 1.5076741635150042]","[0.8636055764672351, -0.039276226299199635, 0.12486250397373824, 0.504593386715396, -0.1318923272179597, 0.2615803178393564, 0.6096097954168813, 0.4684754016277902, 0.9230824289110049, 0.7280819460721919]","[0.816461666108865, -0.047507784937820624, 0.12649773797005207, 0.48175928851541405, -0.13584617381729236, 0.2599986820128407, 0.5790715330097835, 0.44395467433002744, 0.8867769284407311, 0.686822786686015]","[-0.95980597, -0.437578, -0.025768723, 0.113456875, 0.7061371, 0.80885047, 0.05767789, -0.3061105, 0.34607232, -0.4204438]","(20, 4)",1e-07
45,"[1.5986809186122513, 0.5870517951914, -0.41358013736480403, -0.4052438815562328, 0.7583692513653287, 0.6914356783987883, -0.44176982189254166, 0.21781130501365153, 1.3373666074715205, 1.2397585200818428]","[0.786672168079583, 1.2053448345724598, -0.015620622094829839, -0.4057698263173891, -0.20235896839753825, 0.8595487355640978, 0.26166131061673936, -0.5726004772009113, 0.5041115436141073, 1.085310835664467]","[0.7503285365568694, 1.1343419514729782, -0.05306452519545332, -0.36987339067115693, -0.18855500121884, 0.8352655300422571, 0.20930742416647713, -0.5405839177109524, 0.5072019794248959, 1.0105933573328036]","[-0.44223684, -0.085489005, -0.42554885, -0.66708934, -0.63695085, -0.15899155, 0.45801532, -0.005588262, -0.14061138, -0.13617772]","(20, 4)",1e-07
27,"[0.30040852971221266, -0.8635496756460255, -1.108788642005658, -0.8672904828370445, -0.8654089035328904, -0.3739462395836059, 0.1337306828910472, 1.1138616177334373, 0.38626475625811707, -0.33900312009153016]","[0.8854465399547372, -0.14231474026515595, -0.7923923055134475, -0.7125924892489344, -0.5109942382125773, -0.6099117844266018, -0.06899034737030504, 0.1682258565761997, 1.0297486894453374, -0.12860958846455167]","[0.9357544631118551, -0.10355770310354281, -0.8222073415983508, -0.7565816961235134, -0.5426709622706096, -0.6341987433647133, -0.10020520892489353, 0.17801619113413364, 1.042841202610865, -0.0645084279818588]","[-0.22143978, -1.2206984, -1.2032834, -1.286408, -0.071774825, -0.4150268, 0.1340566, 0.3040553, -1.2470503, -0.41429785]","(10, 2)",1e-07
49,"[0.8382158388849568, -0.0017823148800648614, 0.351562312056268, -0.42582646617299624, 0.2523567822596229, 0.3716366264252864, -0.3938303597605525, 0.34268572030417965, 0.12956473948667274, 0.004100428920260829]","[1.221039115717665, 0.22769628102612427, -0.115630455393127, 0.4093775397528315, -0.630515236049412, 0.5676144002843289, 0.08782942628312196, -0.43774507290211345, 0.5615582567552364, -0.15121438889094543]","[1.2193701816660023, 0.19177753939422143, -0.10378886455483033, 0.40858190586813614, -0.6457376309251277, 0.5956393198171095, 0.055459312198066504, -0.42312639770590643, 0.5689268049975487, -0.17397862015272136]","[0.69900835, 0.6336528, 0.33549255, -0.290103, -1.1601111, -0.40342626, -0.79974806, 0.5211721, -0.8339608, -0.4505521]","(10, 2)",1e-07
37,"[0.5198539064413863, 0.6858897627786857, 0.10725806906728796, -0.9021371215984122, -1.7735493506493345, -2.003625817677107, -1.6001014203826736, -0.7717716489465446, -0.24750679902302114, -0.36925922064009464]","[0.38359838798831714, 0.3280547124472277, 0.5218624065550719, -0.15367313421024797, -0.8253005544932882, -1.3608990734026905, -1.323176280975762, -0.9385132798947927, -0.30251500899914824, -0.09624929452344702]","[0.37351973430753793, 0.3212970696840084, 0.5104155236216444, -0.15152710247597237, -0.8074978106316257, -1.3337046797670962, -1.2976350886111852, -0.9215094287486678, -0.2960250082576207, -0.09463541604799995]","[0.004476279, 0.82356244, -0.40420508, -0.31269217, 0.82801497, -0.3735823, 0.5860973, 0.686484, 0.9503046, 0.88591653]","(20, 4)",1e-07
48,"[1.7841674166006096, 2.2003436022919436, 1.0119687774891792, -0.26618771143275843, -0.3351779204101464, 0.21005192911370119, 0.3921341847760322, -0.25692673846648806, -1.0095307649133711, -1.2657635522890587]","[0.8633880684430364, 1.3524733823790913, 1.5241069111023977, 0.24991532193798038, -0.3911453724017486, -0.13960523420927207, 0.2798545462183372, 0.2522069116668636, -0.38303019429991986, -0.8180156677634112]","[0.8261484477968004, 1.356157613971999, 1.5224195111510046, 0.2857041830472393, -0.39127026566346146, -0.1457500092136384, 0.27251859679737755, 0.25627414383807406, -0.36955594733213476, -0.8139411037363783]","[0.8505098, 0.39606473, -0.17316249, 0.06965889, -0.2858098, -0.57729155, 0.96164167, -0.46175125, -1.1293036, 0.067463905]","(10, 2)",1e-07
51,"[1.1027938592817046, 0.34045469877338874, 0.5465650431561858, -0.012748478862714074, -0.031411042081015306, 0.18515080084438512, 1.031587476771617, 1.025435166503927, 0.8898924504433815, 1.490158626581319]","[0.41068459361253906, 0.8974515624754351, -0.10827108246432882, 0.6007005843883502, -0.3130987710568892, 0.1251383434474293, 0.12258162912067047, 0.9702966622112819, 0.540286835398286, 0.6197490327442385]","[0.4112384391879588, 0.9268472094184523, -0.10305370398374639, 0.6073487964883769, -0.30649588744523226, 0.11562360931391769, 0.13265817949005898, 0.9862707297826335, 0.5687600202262468, 0.6321585181372025]","[-0.18114819, -1.1022815, -0.7602881, -0.77932245, -0.87965024, -0.39532313, -0.34713337, -0.78829944, -1.0668817, -0.6722216]","(20, 4)",1e-08
52,"[0.07698530595451958, 1.302073473651972, 1.4133234630846068, 1.764720429031175, 2.3154781653454277, 2.362995080574064, 1.391187672921547, 1.1643013582939798, 0.39764984455662633, -0.1456017266395344]","[-0.6070785987528169, 0.380524605330928, 1.111811170986508, 0.8574178775913528, 1.3360114902354987, 1.6474724202276785, 1.5392588704602248, 0.6215582376914347, 0.8535222394482624, -0.02911127516750489]","[-0.586620068800303, 0.3754108565775934, 1.0785295083453366, 0.8270952699361677, 1.3028010489753148, 1.6045524269900207, 1.5034352391768477, 0.6005642574297391, 0.8393489611053877, -0.03637653224596224]","[0.6633142, 0.8312824, 0.82316905, 0.8149812, 0.79481906, 0.15592065, -0.7742002, -0.90464765, -0.19756296, 0.7430763]","(10, 2)",1e-08
