seed,STD,True,ARMA,Informer,Informer_para,RNN
2,1.3663152077340701,"[1.117955292270915, -0.5518213055246787, -1.8093663247008356, 0.6038570961881811, 1.7866471785563718, 0.9735819005629688, 0.6416274664424011, 0.07042582739030706, -0.18387678254019418, 0.10128451690205971]","[-0.15190144148019213, 0.7659468546665001, -1.0723893314947321, -1.0744256727534076, 1.433569264241069, 0.9164594307250928, 0.008543065285985252, 0.26322416574415114, -0.22021599527445368, -0.11102642785288429]","[-0.22214465, 1.4792182, -1.2394929, -1.980665, -0.27390125, 0.4547443, 0.54618466, -0.30141395, 0.009562727, 0.3744039]","(50, 10)","[-0.21456539630889893, 0.9018129110336304, -1.1849355697631836, -0.9566926956176758, 0.5942844152450562, 1.4239081144332886, -0.178824782371521, 0.37643182277679443, -0.35081061720848083, -0.03528971970081329]"
18,1.4292780297058876,"[1.0769444597298259, 1.1508178764839934, 1.1314012156091628, 0.6194191172025649, 0.19605842238177193, -0.03716624271710068, 0.07530562557817477, 1.092841581901716, 1.1164179633444207, 0.13578519206867418]","[0.4117106664196146, 0.7917234443298445, 0.515647929305666, 0.6743155056413788, 0.11438905252983732, 0.06183295655714788, -0.07086837975205845, 0.11045460674032039, 0.9610033282279935, 0.4104029711079279]","[0.63405716, 1.660715, 1.3016181, 1.2969065, 0.83525527, 0.5092722, -0.07083908, -0.2268167, -0.38473734, -0.22196162]","(50, 10)","[0.6617221832275391, 0.8137919902801514, 0.8834397792816162, 0.5630018711090088, 0.057215213775634766, 0.062009960412979126, -0.3559279441833496, 0.2869478464126587, 0.9502724409103394, 0.7505651712417603]"
22,1.4211574840028787,"[0.9349710626244665, -1.0079803653464618, -2.2617010906704964, -2.5296775664849687, -2.1989700420724487, 1.0566217251543857, 2.9441932554597017, 1.7987345947809725, 0.7229064106424254, -0.22990473319400817]","[1.2545323584479693, 0.014749312019428584, -1.1410156448155417, -1.2848419367211983, -1.116619712721161, -0.8159186639846063, 1.820548948682597, 1.639719028598619, 0.16227139220006104, 0.0571184187179008]","[1.6004665, -0.5263866, -1.1806384, -2.097523, -2.5963075, -1.0939826, 0.8359106, 0.4734616, -1.8343331, -3.556343]","(50, 10)","[1.5582408905029297, 0.06621354818344116, -1.317657709121704, -1.1369481086730957, -1.1148483753204346, -0.9481201767921448, 1.602370262145996, 1.664891004562378, 0.030492842197418213, 0.08375954627990723]"
10,1.2902706234170875,"[0.9540683597246074, -1.4948819926179446, -2.085307280897278, -0.7357640837443896, 0.02099719610477871, -0.884042384348172, -1.1848339102345966, 0.9365599434162426, 0.9505495460881257, 0.7274982660519955]","[0.5160140247696614, 0.46982193451931475, -1.6626851623318337, -0.8958887084831305, 0.03438048102292804, 0.029660508854070552, -0.8313061171019696, -0.5600361950894036, 1.2627679739476574, 0.10868386394966972]","[0.50887674, 1.0890485, -1.47514, -1.6834539, 0.79775536, -0.28388232, -1.2165283, -0.14952889, 1.0778605, -1.3369753]","(50, 10)","[0.5088086724281311, 0.34060603380203247, -1.6756234169006348, -0.9665060043334961, 0.09415757656097412, 0.28317201137542725, -0.843278169631958, -0.5171334743499756, 1.1760187149047852, 0.0031325817108154297]"
23,1.3116836626590085,"[-0.9623806480473136, -1.6709087756701242, -0.27783964327840793, -0.9500816447829181, -1.8826477468168035, -1.8395970086951476, -1.2454507077305115, 0.5701247373579653, 3.578944774899174, 2.747911711687151]","[0.22445779088600898, -0.7196011912853146, -0.8955135842721336, 0.623586842566207, -0.9838691679522027, -0.9860855733164424, -0.6569630702756915, -0.2732891380289769, 0.9986625806476012, 2.608809982477677]","[0.051387735, -1.3639333, -3.0945816, -0.71443325, -1.7727333, -1.9980556, -1.8183124, -1.2061887, -0.8853034, 0.592334]","(50, 10)","[0.33822500705718994, -0.7841197848320007, -0.9729369282722473, 0.7776471972465515, -1.1985363960266113, -1.2084546089172363, -0.7223793268203735, -0.26303598284721375, 1.0373692512512207, 2.320073366165161]"
27,1.455231917226144,"[0.5433834014821325, -0.2813752169572461, -1.6507690638399892, -0.5392228109744919, 0.0358458019989249, -1.3523093968168916, -0.28370180807418044, 0.4866379650562555, -0.9807717619087977, -0.8254637564587508]","[0.5743737551420518, 0.14440912969146297, -0.4286094610866067, -1.33224326962273, 0.4118313956896023, -0.13123660571344994, -1.3135848059827064, 0.6455335423134319, 0.1503724050584376, -1.1587534149996344]","[0.79446113, -1.6239805, -0.61534333, -1.4707197, 0.01900867, -0.18895404, -1.4075989, 0.15779617, -1.2383496, -0.48319572]","(50, 10)","[0.5604335069656372, 0.3288554847240448, -0.41259998083114624, -1.2805335521697998, 0.22240903973579407, 0.15518024563789368, -1.2718466520309448, 0.44063815474510193, 0.3606061041355133, -1.001022458076477]"
7,1.32852697383317,"[-1.7962881168495544, -1.2732067659801491, 0.8889886203523798, 2.951012883596368, 1.2646958340563796, -0.3323120601885993, 0.0903106840418626, -0.13735260074694355, -0.9151583016949827, -1.3520889193794698]","[-1.6979879476832072, -0.745448213548314, -0.3255003972473889, 1.3184101975608118, 1.8739404929492873, -0.5083924458995719, -0.4523972739014501, 0.3736915046230299, -0.31349366045575905, -0.6613341614854449]","[-0.95943236, -2.2075217, -0.4513618, 1.605354, 0.90895504, -1.4166185, -2.088906, -0.4633637, -0.8280369, 1.5764874]","(50, 10)","[-1.3314052820205688, -0.9041385054588318, -0.1584567427635193, 1.2375167608261108, 1.6163641214370728, -0.3436587452888489, -0.5547955632209778, 0.4906178116798401, -0.5373310446739197, -0.7192400097846985]"
3,1.3737701428596283,"[-0.8002904057913294, 1.0290506471787033, 0.44813717880772275, -0.652453653396722, 0.3549254962682892, 0.049329357131917106, -0.3098622573180623, 0.18935398431869174, 1.87114900921887, 1.0091447266623186]","[-1.2886888740566862, 0.24135002736395833, 1.05012781288705, -0.26500834712459487, -0.6084618280186398, 0.714278362613648, -0.3112934910452034, -0.17610509300283525, 0.31681727635132906, 1.4903414289545136]","[-0.28590885, -0.3060984, 1.4670379, -0.4520294, -0.416161, 0.17894414, -0.6407127, 0.562504, -0.18116143, 0.540322]","(50, 10)","[-1.2353719472885132, 0.3077133893966675, 1.1010738611221313, -0.20935487747192383, -0.6379052400588989, 0.6749881505966187, -0.23017644882202148, -0.23593485355377197, 0.3920297622680664, 1.394313931465149]"
26,1.349907117409426,"[-2.137207159941018, -1.548716462312171, -0.4097235362139258, 0.09950230877584003, 0.3047697198963778, 0.3717224578572047, -1.0782700431902128, -0.9204881218738453, -2.2284802823007532, 1.6278903209138331]","[-0.48619488694345114, -1.6747748323959941, -0.338907236118058, -0.03060431472841682, 0.10041403696044433, 0.22427383995143632, 0.19228911946860272, -1.1309945845017988, -0.15645906534328202, -1.8486374035991957]","[-0.5168388, -1.8621728, -1.3073101, -0.27810556, 0.17328511, -0.8141256, -0.6616632, -0.44883788, 0.82194346, -0.5458749]","(50, 10)","[-0.3587278425693512, -2.073467493057251, -0.20526736974716187, -0.22874033451080322, 0.4829637408256531, 0.15404012799263, -0.4715588092803955, -1.4632267951965332, -0.36244022846221924, -1.476996898651123]"
1,1.3269332216181096,"[-0.44777366358533155, -0.10574035166322028, 0.3966155421575484, 1.0972745116866522, 2.027988567456552, 1.1397070686752993, -2.2610192634955197, -2.39598013703586, -0.3067146415432615, 0.40023086770772087]","[-0.6517749350971669, 0.05570744061967592, 0.04692113136899287, 0.3338012596633283, 0.7193609829901707, 1.22202587012121, 0.04261022548454341, -2.2872743038603605, -0.654427655105257, 0.7127537782298696]","[-0.03298172, -0.4522261, 0.505222, 1.0087211, 1.6459665, 2.6941845, 1.2035182, -1.8176103, -0.124673136, 2.867679]","(50, 10)","[-0.36311909556388855, -0.26492437720298767, -0.057714611291885376, 0.2793988287448883, 0.9629697799682617, 1.0823086500167847, 0.6279165744781494, -2.468510627746582, -0.7315852642059326, 0.6238970756530762]"
