seed,STD,True,ARMA,Informer,Informer_para,RNN
35,1.4143093542291454,"[-2.223263267222157, -1.989672094441333, -1.4150748145182186, -0.8212655795011936, -2.2398976210908645, -1.2718568869535694, -1.2471422397079532, -1.0991395277809057, 0.5467537183927864, 3.2757550208821042]","[-1.9144632941528266, -0.7639407053194665, -1.2385702298982444, -0.5290778804603011, -0.3257706631586668, -1.878302511343735, -0.00043389802398674515, -0.9843454054857377, -0.47419849038116746, 0.9173528529143877]","[-1.905093, -2.6431212, -2.060158, -0.8880745, -0.58563936, -1.6442335, -0.42219138, -0.35576206, -3.0601957, -1.704781]","(50, 10)","[-1.9490505456924438, -0.7089111804962158, -1.0349156856536865, -0.3974301815032959, -0.27694231271743774, -1.758870005607605, -0.004815459251403809, -0.9468412399291992, -0.4375191628932953, 0.8776663541793823]"
68,1.3966423420890075,"[-2.485083915460492, -2.5769433457135267, -0.5272650754224179, 0.8330953983588225, 0.437108669782632, -0.9249725933620062, -0.34223249638355, 0.46424143462466905, 2.0860737485258207, 2.2017187375229894]","[-0.9208060317839213, -1.5265337012331037, -1.0535306131222595, 0.6441007211337992, 0.6033397305754296, -0.0840056465878671, -0.9254552698897629, 0.3440349146268319, 0.35533028458966126, 1.645682210914122]","[-0.6455514, -2.2935042, -2.6063597, -0.69132173, 0.46535575, -0.79204476, -3.0290287, -0.26289213, 1.1819701, 1.3361808]","(50, 10)","[-1.0671769380569458, -1.442690372467041, -1.17718505859375, 0.5452324748039246, 0.3764071762561798, -0.028644300997257233, -0.7556581497192383, 0.16682784259319305, 0.6526315212249756, 1.518809199333191]"
94,1.3488892023920813,"[-0.3082293840259648, -0.2968024086668181, 1.6957894015159427, 1.9099167868751448, 0.6237615270226489, 0.2904857733246174, 0.9414048756159239, 0.8087004644333763, -0.9667144195959287, -2.3180183124851075]","[-1.1856597651624392, 0.443109902812491, -0.4442051164897517, 1.7620976785048408, 0.710605119389977, -0.03993464772054828, 0.279485543295708, 0.6966531719473236, 0.2813386942711495, -1.1166451915279327]","[-0.904981, 1.3096328, -0.78025144, 1.2268034, 0.2976359, -0.06177817, 0.4989514, 0.3506571, 0.73927075, -0.110909685]","(50, 10)","[-1.2406638860702515, 0.36912840604782104, -0.38559359312057495, 1.7448545694351196, 0.5043720006942749, -0.00397677905857563, 0.04157046973705292, 0.8180133700370789, 0.12783636152744293, -1.118829369544983]"
40,1.3779898236009511,"[-0.36836396144562705, 0.06519317265661737, 1.635751843033155, 2.449605719636047, 1.5483543694146185, -0.8292807918568593, -0.32969365633440273, 1.8825053392083313, 2.7088104746043307, 1.0906967238931284]","[-0.5812837482297675, 0.226224708679752, 0.0442845071764584, 1.4762977079687007, 1.1850672469092574, 0.28909878946252787, -1.2818477371684764, 0.4883483842176247, 1.5959226716040207, 1.308324075565386]","[-1.3627918, 1.1745338, 0.22634904, 1.266815, 1.7913375, -0.30454847, -2.6058495, -0.45587152, 0.86585146, 0.8893039]","(50, 10)","[-0.45398226380348206, 0.28417113423347473, 0.17890802025794983, 1.5194315910339355, 1.131203532218933, 0.43344709277153015, -1.4418034553527832, 0.49780264496803284, 1.51503324508667, 1.3014397621154785]"
37,1.3741587591357938,"[-0.7320107824784348, -1.334873221862436, -2.830270727999395, -2.171825700352501, -1.1699072417331753, -0.9083298934746911, -0.6531089742269618, 0.1716358428829503, 1.420182219659508, 1.505674042252934]","[-0.2849852189977527, -0.3586198509100228, -0.8806465713955552, -1.8900262181605831, -0.4361124281334561, -0.27270423012927714, -0.39270457700217143, -0.1858217861455479, 0.4259991456128711, 1.1052115674301346]","[-0.16206217, -1.179522, -2.9090683, -4.4842196, -3.7433965, -2.7748637, -2.302177, -1.0294555, -0.21481201, 0.6863338]","(50, 10)","[-0.2597064971923828, -0.39422500133514404, -0.8920247554779053, -1.9648528099060059, -0.11057496070861816, -0.4028172492980957, -0.3265361785888672, -0.18552160263061523, 0.4719970226287842, 1.0766297578811646]"
34,1.3056617689511811,"[1.5659960799344281, -0.4803619457547359, -1.0839423596483155, 0.1675213475082694, 0.9709578066105129, 0.1238356957633096, -0.6905410299778845, -1.3810468241012401, -1.5426304109503217, -0.14750334587360048]","[0.5728656478990121, 0.8722564668815384, -1.145947754823562, -0.40001281504466274, 0.5735033513829847, 0.5927367322663304, -0.36220643366573324, -0.5013023029332221, -0.8427655663325201, -0.6800261813035627]","[0.6615503, 1.6415751, -0.57065177, -0.29562038, 0.99754095, 0.74737275, -1.4444802, -0.55017114, -0.79621714, -0.5311183]","(50, 10)","[0.4564815163612366, 1.0003597736358643, -1.22445809841156, -0.3091946244239807, 0.41134244203567505, 0.8610475063323975, -0.5277727842330933, -0.3366393446922302, -0.9830314517021179, -0.7724723219871521]"
100,1.4334067376175836,"[2.1864307920249866, 2.0639327647448313, 0.10103989620108295, -0.32115888400398673, 0.6268021476008949, -0.07151195867502458, 0.8386928412588855, 1.8947658704269013, 1.32160338274791, 1.6006802152055026]","[0.40413855311960933, 1.9534454876409275, 0.7179691398652029, -0.6667820171072979, -0.1333805752632981, 0.6821206985057431, -0.41946660150930654, 0.8798187854001369, 1.221053604743374, 0.3325845397625711]","[0.5351775, 2.339815, 1.613246, -0.9211944, -0.7255429, 0.4290392, -0.7464307, 0.6081497, 1.0112677, 0.93353575]","(50, 10)","[0.3754231333732605, 2.3140907287597656, 0.5937446355819702, -0.7936387062072754, 0.04293415695428848, 0.5391584634780884, -0.49615156650543213, 0.7713356018066406, 1.209243655204773, 0.05379820615053177]"
75,1.387652000280978,"[0.7570397944851985, 0.3264153638780595, -0.45909094353956986, -0.5826039118794046, 1.1674121532790114, 0.08484646261257223, -1.0267676834885384, -1.9540044488697927, -1.235315180233392, -0.3720651649076729]","[1.1959159400210846, -0.02210388447918682, 0.1327669909985469, -0.5799964234671682, -0.16760820475268198, 1.3346763740020975, -0.8367006151026113, -0.6018447874755832, -1.316612431872195, -0.06963603597228973]","[1.3974665, -0.8821933, -0.21378121, -1.1685854, -0.30304, 1.6904628, 0.8295007, 0.734906, 0.023115223, 0.34854218]","(50, 10)","[0.9514487981796265, 0.15487909317016602, 0.0996396541595459, -0.6229089498519897, -0.15094280242919922, 1.3650596141815186, -0.760499119758606, -0.6697665452957153, -1.3889304399490356, -0.06106734275817871]"
67,1.3901390664886695,"[-0.10932086797793605, -2.3759584597037526, -0.27903187809677243, 0.9552127848679067, 0.16574953757049932, -0.9983664309168176, -0.9120398214521346, -0.9474899843698715, -1.1983056533258027, -0.31428371150315515]","[1.677251500460844, -1.3381555354713945, -1.6499418965888388, 0.9848224469504184, 0.574648424143449, -0.31396009010545733, -0.8387154765409149, -0.2575028753972636, -0.5336929427077995, -0.650181409163805]","[2.0488544, -1.7444916, -2.3236518, -0.21359147, -0.9354491, -1.162065, -0.46782142, 0.32815802, 0.6716725, -0.24718738]","(50, 10)","[1.8521851301193237, -1.3780741691589355, -1.7242262363433838, 0.26971447467803955, 0.9368210434913635, -0.368191123008728, -0.8583670258522034, -0.38057589530944824, -0.6693670153617859, -0.7672976851463318]"
53,1.379945168342137,"[0.8606487645789926, -0.698624895079477, 0.3247693823306157, 0.2561256273314433, -1.4423109666184164, -1.363886937991038, 0.4991661019370947, 1.0112286877495094, 1.585008755485581, 0.21626299717768338]","[0.2650488139841446, 0.6058523686803905, -0.9881464763981362, 0.8361351923372895, -0.2059925374908423, -1.1845666400380905, -0.42464511280275075, 0.7537517913568995, 0.4249861728297775, 1.0528462670767704]","[0.0073816627, 1.7455955, -0.46985987, 0.7998463, 0.15363821, 0.1760816, 0.02574917, -0.9230444, -1.0260018, 0.14032044]","(50, 10)","[0.329506516456604, 0.6029579639434814, -1.1340123414993286, 0.8295378684997559, -0.008081629872322083, -1.2500488758087158, -0.4192453920841217, 0.714770495891571, 0.31964200735092163, 0.9032145738601685]"
52,1.3569680855148694,"[0.4185223717210336, -0.7013853601343594, -0.06192313177101827, 0.011469453908906357, -0.4105014783487351, -0.28678503085709656, 1.0889963254811568, 0.9104242384465742, 0.40873433318946123, -2.1422188209835333]","[0.8040690876680198, -0.641444788769282, -0.9512161844884088, 0.07843328481265055, -0.1552237386591016, -0.5268929346923581, -0.2334979932757685, 0.8195753103395942, 0.052985821611658324, -0.25878419145174414]","[0.904211, -1.0481032, -1.3238779, -0.074371174, -1.12568, 0.65524566, 0.69789505, -0.042357933, -0.62170976, -0.0578861]","(50, 10)","[0.8455043435096741, -0.3874247074127197, -0.6154568195343018, 0.36837905645370483, -0.18055924773216248, -0.577492892742157, -0.0975298285484314, 1.045231819152832, 0.10099077224731445, 0.16975855827331543]"
98,1.3918526794076387,"[0.656405584432002, -1.207656509505517, 0.5993212325163169, 0.583045848020239, -0.9246790935825699, -0.8244523844859435, 0.08045860789221096, 0.5647606216955552, 1.0008906723266189, -0.033911890927044164]","[0.89238032476624, -0.27793087143189765, -1.1163081610048424, 1.157745815952938, -0.004825251160305022, -0.9336506949052469, -0.18801392077725249, 0.3304851928203383, 0.3611302555446967, 0.6063882360290964]","[1.2806897, -0.9097027, -1.992923, 0.24500887, -0.8735042, -1.3939289, 1.1086131, 0.41925195, -0.37488928, -0.6186685]","(50, 10)","[0.9692363142967224, -0.6002177596092224, -1.2986273765563965, 1.0351591110229492, 0.2664654552936554, -1.0384533405303955, -0.17662431299686432, 0.25533434748649597, 0.5940223932266235, 0.4299744963645935]"
89,1.372128804513924,"[1.1097467982772344, 2.7494568229333805, 2.793437258117477, 1.2762010586136605, 0.3916148593513883, 0.9368139977123908, 1.0682075952905798, -0.2573166031314196, -0.2766141739103809, 1.5269399600003974]","[-0.10581003778192176, 1.0505671575204159, 1.8567140720388202, 1.2980353476319935, 0.22899475383163923, 0.14169663145101313, 0.7648113663448406, 0.4876967613325143, -0.5949187764911069, 0.08985147300959387]","[0.41446653, 1.2160517, 2.7913778, 1.9773058, 0.5065149, -0.1937106, 2.0560453, 0.043457396, -0.92482173, 1.7623852]","(50, 10)","[-0.0512610599398613, 1.0627692937850952, 1.5814528465270996, 1.5079760551452637, 0.12590503692626953, 0.32076528668403625, 0.8099938631057739, 0.6209717392921448, -0.7532222270965576, 0.02065836265683174]"
71,1.3175316450263375,"[0.9522399840519237, -1.169532400658353, -1.4476195133811665, -0.0609618985288381, 0.739031087695927, 0.5808766494264185, -1.7593410788728847, -2.721187982436676, -1.6816344238498644, 0.05833687127702186]","[0.3916491396695264, 0.6767825236101027, -1.9016089294579848, -1.0084941712695954, 0.16790582485393865, 0.37983954657017627, 0.2546485506876595, -2.182880776653604, -1.93152486974583, -0.7169187551720638]","[0.6817689, 1.359404, -0.9357056, -0.19795787, 1.2384607, -0.5660715, -2.0835187, -1.9975646, -1.7280707, -0.81491464]","(50, 10)","[0.5860987901687622, 1.043311595916748, -1.4326796531677246, -0.46322157979011536, 0.557106614112854, 0.8531309366226196, 0.11097376048564911, -1.7369780540466309, -1.3767738342285156, -0.10620859265327454]"
64,1.3714486572878768,"[0.960188229976986, 1.9874423379743371, 1.0987946114776337, 2.0902947357532593, 2.476175664241769, 0.8121078065848485, 0.3355804188099139, 0.0889636597566559, 0.9725893746154093, 1.7738191075207315]","[0.7652422687166154, 0.3161222113425893, 1.6022566710529627, -0.026237707568565305, 1.8247733014583274, 1.158331135151183, -0.14879648987058822, 0.35764641745039655, -0.12216291054414127, 0.9427720596271478]","[0.9066016, 1.2462384, 3.0666335, 2.3169236, 1.918674, 2.1093419, 1.4094725, 0.4979554, -0.11610464, 0.619706]","(50, 10)","[0.569186806678772, 0.09064292907714844, 1.366843581199646, -0.18152987957000732, 1.5615509748458862, 0.8048871755599976, -0.310970664024353, 0.21190857887268066, -0.09690380096435547, 0.8672617673873901]"
30,1.338670868745351,"[3.6797197203677383, 2.6841988295801826, -1.355879757919341, -0.9314851555473704, 1.8615556975115024, 2.590151730329535, 1.4312375358488243, 0.6150920298430339, 0.27271521074882693, -0.30257438887931704]","[2.2680611853164563, 1.595168642486804, 0.7361818186766333, -2.257549510266589, 0.405203918100588, 1.7588772206748517, 1.0941676417778106, 0.10855137902243173, 0.09262857062372803, 0.03019481364220898]","[1.0474145, 1.9608049, 2.0156944, -3.4403734, -0.18505052, 3.484329, 1.0801214, 0.45169142, 0.76839846, 2.0035858]","(50, 10)","[2.2406461238861084, 1.8041774034500122, 0.7682859897613525, -1.7636220455169678, 0.29794809222221375, 1.9075239896774292, 1.1460158824920654, 0.18216854333877563, 0.0551818422973156, 0.10488791018724442]"
45,1.3983176146706973,"[0.5610074140434663, 0.07980465943690218, 0.08375326997131953, -0.1536627707201625, 0.3873411031695232, -0.20519217119133598, -1.9417602214778804, -1.8477082741216246, -1.4307904140148686, -1.9630829509448933]","[1.0861440915963883, -0.31647042631874056, -0.004349802429782362, 0.05465730201248273, -0.1873094876110566, 0.46936310169694173, -0.4594701157523096, -1.612268316640753, -0.6190646384716202, -0.5685555117890843]","[1.000621, -1.3778812, 0.044611797, 0.44960624, 0.06658178, -0.24335188, -0.20471373, 0.050833464, -0.7741251, -1.6121567]","(50, 10)","[1.1885287761688232, -0.47515520453453064, -0.033110469579696655, 0.02921926975250244, -0.222677081823349, 0.48788535594940186, -0.5548461079597473, -1.7153816223144531, -0.7045706510543823, -0.40389782190322876]"
36,1.378122244197862,"[-0.6109003502778931, -1.1962871269208912, -1.9284712114416345, -0.8369365861790452, 0.6752890852409565, 0.3457813541320848, -0.32961489457060145, -1.457281927215059, -2.0157293730145973, 0.548955056985752]","[0.968335967536242, -1.2523806504491404, -0.4622226711318654, -1.1407892849121728, 0.2068437794404978, 0.7695112767270815, -0.1356949080810666, -0.3459442232798006, -1.0383340428682573, -0.9692546161114881]","[1.3200971, -1.0664935, -0.62601197, -1.5008912, -1.2486928, -0.6752561, -1.5886307, -1.0082299, -0.70490617, -1.1716179]","(50, 10)","[0.9136313796043396, -0.8500316143035889, -0.6430824995040894, -1.1655128002166748, 0.41949158906936646, 0.4681740999221802, -0.26141154766082764, -0.48768341541290283, -0.9544224739074707, -1.080871343612671]"
87,1.340188606135228,"[-3.453753699772272, -0.6902689726117852, -1.0857188978948584, -0.3239988130660879, 0.5905938518679926, 2.061073845904555, 0.8168329171895543, 0.22593668313470427, 0.21798706491249104, 1.2783242143974283]","[-1.802210349194059, -1.6097914363076313, 1.0149319978995854, -1.2856660095426324, 0.5795685456162364, 0.3458581854017142, 1.5551414202022835, -0.5044691644228937, 0.22517395298405843, 0.035896662584672265]","[-0.9273944, -2.0746558, 0.2426578, -1.4918572, -0.73477006, -0.29930365, 1.4053737, -0.75715023, 0.24501188, -0.07156233]","(50, 10)","[-1.6917810440063477, -1.18638277053833, 0.9551849961280823, -0.9015753865242004, 0.28056490421295166, 0.6677700281143188, 1.3705754280090332, -0.4748219847679138, 0.32529598474502563, 0.1367497742176056]"
73,1.3648159503231296,"[-2.5376221671283297, -1.2580984383368738, -0.3346163985270597, 0.49886123812781336, 2.9658841044232194, 2.5419784354427586, 1.748233198849274, 0.6511930271995904, 0.4982793667647232, 1.3323473686472305]","[-1.534932330352177, -1.436521489891586, -0.14916478818273254, -0.12136248648755517, 0.5371586091124227, 2.5374839110742378, 0.782471509972768, 0.9299344799266405, 0.041638868527818784, 0.3493396369380069]","[-1.2283506, -2.1502526, -0.16188051, 0.5248344, 1.5050973, 2.1672425, 0.6519097, 1.9065274, 1.0109857, 1.6239847]","(50, 10)","[-1.4532086849212646, -1.3101916313171387, -0.03971457481384277, -0.33846765756607056, 0.7964516282081604, 2.1492300033569336, 0.44837409257888794, 0.9117249250411987, 0.005889892578125, 0.3037595748901367]"
62,1.3638504075641393,"[-0.38103550211399373, 2.3179132758350227, 1.9676456316651094, -0.6949430781875117, -0.015844449814724992, 0.7120288144408287, 1.6757146923382078, 0.37580041088353155, -1.5290659513724867, -2.3072879293107276]","[-1.7446886590749588, 1.2471535245019987, 1.8626008211819503, 0.353764504450078, -1.4693070342860257, 0.65953062458431, 0.45429834587653817, 1.0936652549250812, -0.6062988903655993, -1.3353803577024534]","[-2.261063, 1.1785384, 2.7208297, -0.83281976, 0.28337932, 1.9756347, 1.5454305, 1.530871, 0.802599, 1.4147414]","(50, 10)","[-1.9424220323562622, 0.676011323928833, 1.9815678596496582, 0.24292032420635223, -1.307054877281189, 0.6807695031166077, 0.33833229541778564, 1.1086242198944092, -0.33696988224983215, -1.23721444606781]"
61,1.414563086576634,"[-3.057948799466865, -3.963349443448349, -2.2110460710511606, -1.0383298758388935, 0.3293943821787133, -1.067748810281296, -2.149024809062282, -2.0398062169834312, -0.14888278236076757, -0.21845981564460837]","[-0.8349129540036259, -2.401717789180623, -1.766064530845529, -0.5122459526614727, -0.44357341720360827, 0.6633123152393554, -1.43046689539637, -1.05911080225231, -0.9059390981130855, 0.5836529066401555]","[-1.2892873, -2.43305, -2.4917576, -1.3596107, 0.30688995, -0.017028008, -2.9919536, -1.9818577, -1.4158179, -0.47714868]","(50, 10)","[-0.6045239567756653, -2.7047598361968994, -1.702485203742981, -1.0008796453475952, -0.13741110265254974, 0.6411011219024658, -1.565501093864441, -1.0951424837112427, -1.1195818185806274, 0.6387662291526794]"
47,1.334453030426899,"[-1.7111665383308072, -1.3271955440327867, -0.8947412509936394, 0.5082325191167953, 1.644393493709316, -0.3910509437959291, -0.09076708797623323, 0.1277131193985414, -0.8578829534384619, 1.2438912514993927]","[-0.7075626129649617, -1.2383178577387128, -0.18791163965311308, -0.36299818443075543, 0.8383072300302331, 0.9557272923376828, -1.1881475828598107, 0.5363787333926099, -0.09622450215700934, -0.7452347904924969]","[0.20722865, -1.7917696, -0.7439656, -1.7531645, -1.0671873, -0.61226404, -1.2666293, 1.224024, 0.16441384, 0.4329261]","(50, 10)","[-0.4569763243198395, -1.3368703126907349, 0.00848566647619009, -0.6132788062095642, 0.7640566229820251, 0.9419870376586914, -0.9860509037971497, 0.6869555115699768, -0.13842909038066864, -0.7524687647819519]"
83,1.3483056353539908,"[-0.6545817741299405, 1.434024738276674, 0.34749362506855164, 0.5199948567396283, 0.721188136451574, 0.43640808211075144, 1.45987711423287, 1.1287010228834997, 1.2488000179907937, 2.319392260813648]","[-0.522174457218974, 0.27622257475845047, 1.342776828463979, -0.6297091169640003, 0.5615262322906871, 0.25777126146290946, 0.05826696061532441, 1.0999153474479924, 0.12378776999016444, 0.6801486780069295]","[-0.624317, 1.1952612, 1.6057029, -0.41499949, 1.4191557, 0.3926329, -0.097209536, 0.14576043, 0.11707012, 0.6350735]","(50, 10)","[-0.6279134154319763, 0.366224467754364, 1.4291059970855713, -0.7756903171539307, 0.5635955333709717, 0.3141915500164032, 0.03543485701084137, 1.2424596548080444, 0.05421556532382965, 0.8404217958450317]"
88,1.3714222449102627,"[0.22461653339957438, 1.318030320057857, -0.08611223501594023, -0.8058442094657586, -0.7336720484304529, 0.6393652633056603, 0.027561054269627294, -0.4087066917385706, 0.8341597633245745, -0.9843083475757248]","[0.059506809684996, 0.44607951482876007, 0.9203924212508791, -0.7494370878914212, -0.6735775557722617, -0.2773106470746516, 0.8170161488056079, -0.3374838338386464, -0.40449768283642307, 0.8262540939012464]","[0.19983456, 1.0484588, 2.160006, 0.6834719, 1.4282341, 0.6187983, 0.021097075, -0.88775665, -0.79256594, -0.62272733]","(50, 10)","[0.28539609909057617, 0.5914607048034668, 1.0162200927734375, -0.772838830947876, -0.6089555025100708, -0.01369619369506836, 0.9937677979469299, -0.5225870609283447, -0.16012273728847504, 1.1026737689971924]"
63,1.320731586774905,"[1.5183510787843302, 2.3937143568473545, 2.5425282829933686, 0.6313434942478507, 1.2377169419351737, 0.15686896505073666, 0.02589841203218335, -0.08404419849605466, -0.5951041478727183, -0.5938219288017121]","[0.3674664350881277, 1.2091005911550354, 1.3073123433941114, 1.2267656016689017, -0.4572692954768485, 1.1474626468344176, -0.5715000252853468, 0.21877239389736933, -0.16568949982967976, -0.43906850559469146]","[0.27787942, 2.3419235, 1.9210684, 2.2442594, -1.4213681, 1.5463334, 0.5376953, 2.553644, 1.7297523, 0.77244097]","(50, 10)","[0.5085813403129578, 1.35109281539917, 1.3124656677246094, 1.2163426876068115, -0.4596859812736511, 1.30629301071167, -0.6256803274154663, 0.31693750619888306, -0.16058015823364258, -0.4618266224861145]"
59,1.360798710103272,"[0.49104831094266865, -0.8048544390998214, -0.024775232916586676, 0.6952599203292249, 1.9603310146283763, 1.547732630353295, 0.6385240670328055, 0.6746580949314387, 0.3768624967118318, -1.8612362572169527]","[0.21564556273037777, 0.4825847242848753, -1.0545777689510576, 0.5001076047949539, 0.4999196948776145, 1.3560457713089817, 0.41113479830049615, 0.035423764061565666, 0.5012348020362117, 0.06843656085165595]","[-0.21598816, 1.6270537, -0.037130468, 0.65286183, 0.5275453, 0.7747664, 0.14412913, 1.1957073, 2.0146985, 0.5836649]","(50, 10)","[0.2821645736694336, 0.6369914412498474, -0.760955274105072, 0.26190513372421265, 0.6726747155189514, 1.3904788494110107, 0.3815021514892578, 0.0489269495010376, 0.491518497467041, 0.07927781343460083]"
81,1.3687357882040543,"[-0.5811029134529359, 0.4310004762787655, 0.6375594550160434, -0.18088458138817717, 0.11779146978495952, 1.0227561550962823, 0.8887016571627435, 0.16692453209748487, 1.3827431017558145, 2.904046528960264]","[0.34705022487489934, -0.6592954249658236, 0.7647819225303542, 0.13046455534006848, -0.3059316163431158, 0.30868707299182974, 0.7327524622640604, 0.29925864246952394, -0.08338426004351966, 1.2809102722522356]","[-0.6261256, 0.3867175, 1.5098767, -0.1760624, -0.42450494, 1.2394723, -0.7648013, -0.86713463, 0.6125205, 1.8648628]","(50, 10)","[0.3234814405441284, -0.7651635408401489, 0.7209235429763794, 0.13550281524658203, -0.39759767055511475, 0.23646056652069092, 0.7991198897361755, 0.286349892616272, -0.1819472312927246, 1.3432226181030273]"
82,1.3715429908214243,"[1.1636955896271974, 0.551543475212207, -1.597994601477104, -1.644474056900559, -0.35267418935987405, 1.2896146463399254, 0.921871432679185, 1.7473868639972983, 1.0418311651243877, 1.0962248815547175]","[0.12830905270612536, 0.8050191121429633, -0.06662866342206791, -1.5761020232464564, -0.5675162319840195, 0.3132955230805002, 1.1706706789352408, 0.1217490423724133, 1.2774046365626845, 0.07149047596407254]","[0.39865232, 2.0458472, 0.5545977, -1.4032156, -0.60667, 0.8543537, 0.2457649, -1.0195239, 0.22376554, -0.059518106]","(50, 10)","[0.22644302248954773, 0.9094442129135132, 0.03256377577781677, -1.6570850610733032, -0.5632387399673462, 0.3765967786312103, 1.1485658884048462, 0.21774157881736755, 1.407009243965149, 0.06931361556053162]"
86,1.2907473595673316,"[-0.6597796119947241, -1.3459889959585982, -0.7114255402078072, -1.0230528737738915, -1.4463509436814377, 0.37292661399897864, 1.444459644565084, 1.1575064800879824, 0.9256016173664637, -0.39227314322700135]","[1.0035803761355615, -1.4325782775888014, -0.1972508535243884, -0.18690639143952117, -0.7320855078211586, -0.5730856428688758, 0.8436166750556108, 0.6563974101029619, 0.3218549328239536, 0.4478954155965015]","[0.6458322, -2.4571767, -0.004801292, 0.050349068, -0.40534613, 0.088549174, -1.00986, -0.4705855, -0.697342, -0.07664863]","(50, 10)","[0.8411992788314819, -1.16061270236969, -0.453167200088501, -0.019204601645469666, -0.557665228843689, -0.780207633972168, 0.9067405462265015, 0.602138876914978, 0.2578510046005249, 0.23243273794651031]"
92,1.3585136799901205,"[-0.47638607818833084, 0.2896693442622678, 1.2600691101965904, 1.9794712839398585, 2.3972614213846057, 1.74360811031123, 0.615770596118553, -1.260497787937056, 0.28965761125159295, -0.939215085030968]","[-0.38243733672059554, -0.29539852515135123, 0.5032605068681003, 0.9119965083142767, 1.2174331510405616, 1.3358768186032886, 0.5788943549760377, -0.02322213562795372, -1.3140956334420004, 1.1163778102008293]","[-0.56709105, 0.5271389, 0.72430086, 1.5706952, 2.4764202, 3.4272287, 2.1930544, 1.1449012, -1.4202595, 1.1652981]","(50, 10)","[-0.26180556416511536, -0.2730635106563568, 0.3173845112323761, 1.1269153356552124, 1.2677744626998901, 1.2474042177200317, 0.4224920868873596, -0.07616114616394043, -1.135393738746643, 0.7586706280708313]"
78,1.3924144613881944,"[-1.786411214463587, -1.8354435815308485, -1.2823137440676615, -0.3262719890789862, -0.9540302994008945, 0.005323301806313019, 1.7321971066872592, 1.8547066062348914, 0.4942234998395071, -1.5670137052905864]","[-0.674789029189929, -1.1568657175248143, -0.9246396675123958, -0.5123314281704237, 0.0765796076367032, -0.9040122022991512, 0.5647762120183046, 1.3221754808728161, 0.804453646652284, -0.14498520812009277]","[-0.11038801, -1.588709, -1.4235123, -0.8363733, -0.74466383, -3.3568518, -1.3683914, 2.163809, 1.7656333, 0.085350886]","(50, 10)","[-0.8465558886528015, -1.2264207601547241, -1.1628262996673584, -0.4805556535720825, 0.1969659924507141, -0.7768641710281372, 0.3833065629005432, 1.627518653869629, 0.6450147032737732, -0.34486186504364014]"
85,1.3787884011410607,"[0.783565604740575, -0.23128560047596272, 1.245591134008775, 0.5255730375733589, 0.13670485802958854, 1.2243003148685252, 0.5537325694994476, 0.5876690299764378, -0.9171186822264674, -0.23122972465852398]","[1.0985822034907746, -0.5842846582186091, -0.45732384995737785, 1.0275570656294004, -0.4184386889606946, 0.038510748547272045, 0.857630731623199, -0.24453221268235925, 0.38278879171452673, -1.2341201752044242]","[1.156303, -1.2538903, -0.48028284, 1.4840605, 0.630806, -0.18448916, 1.3516752, 2.2843232, 2.0754452, 1.7082169]","(50, 10)","[1.1774133443832397, -0.4630091190338135, -0.605879545211792, 1.5763709545135498, -0.36234742403030396, 0.014551758766174316, 0.986083447933197, -0.2526601552963257, 0.22239553928375244, -1.0555267333984375]"
54,1.3726632118240283,"[-1.6548414401155862, -1.0923288020554764, -0.20930414280020937, 0.48050805157153986, 1.5395672153751465, 2.6580351381390885, 1.3425125521817323, 2.114649888439951, 2.759196543252524, 2.1465735566472923]","[-0.37883313991831413, -1.2204703914419042, -0.004599764558070707, 0.0992513297719262, 0.44195079527611236, 1.061092868518668, 1.5172784753711788, -0.16255086979963806, 1.6264513823013556, 1.2127117675116914]","[-0.7123029, -2.1029458, -1.5386527, -0.8706506, -0.14714937, 0.61656356, 1.2867296, 0.918242, 2.430723, 3.0155344]","(50, 10)","[-0.4575500190258026, -1.2359154224395752, -0.10032334923744202, 0.06119146943092346, 0.3609148859977722, 1.0940639972686768, 1.593799352645874, 0.14196807146072388, 1.670607328414917, 1.3365676403045654]"
90,1.406786784285457,"[1.7130880261288133, 1.5009803564878188, 2.081887324413866, -0.419534550644592, -0.9755141657726423, 1.0185698970243244, 1.645341301515098, 1.0585931284142258, 0.9759343192926778, 0.08256095322825291]","[0.5280869158686654, 1.1532392351085459, 0.5605761649182324, 1.4208439452299326, -1.2969912013243725, -0.11195524360867126, 1.0628744722624293, 0.7542254860459678, 0.3934725587302377, 0.5804240976887466]","[0.78324604, 1.748061, 1.4984488, 2.2290995, 0.42536253, 0.4234771, 2.2777314, 0.28439468, -0.42995736, -0.10712615]","(50, 10)","[0.4258744418621063, 1.605401635169983, 0.5604885816574097, 1.5456634759902954, -1.3313581943511963, -0.4415343701839447, 1.4842870235443115, 0.8760682344436646, 0.39982637763023376, 0.644914984703064]"
